"Notes","Year","Year Code","Ten-Year Age Groups","Ten-Year Age Groups Code","Sex","Sex Code",Deaths,Population,Crude Rate,Crude Rate Lower 95% Confidence Interval,Crude Rate Upper 95% Confidence Interval,Crude Rate Standard Error,% of Total Deaths
,"1999","1999","< 1 year","1","Female","F",Suppressed,1852123,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed
,"1999","1999","< 1 year","1","Male","M",Suppressed,1943639,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed
,"1999","1999","1-4 years","1-4","Female","F",18,7493614,Unreliable,0.1,0.4,0.1,0.0%
,"1999","1999","1-4 years","1-4","Male","M",28,7846168,0.4,0.2,0.5,0.1,0.0%
,"1999","1999","5-14 years","5-14","Female","F",39,19908282,0.2,0.1,0.3,0.0,0.0%
,"1999","1999","5-14 years","5-14","Male","M",50,20911542,0.2,0.2,0.3,0.0,0.0%
,"1999","1999","15-24 years","15-24","Female","F",74,18860184,0.4,0.3,0.5,0.0,0.0%
,"1999","1999","15-24 years","15-24","Male","M",103,19815847,0.5,0.4,0.6,0.1,0.0%
,"1999","1999","25-34 years","25-34","Female","F",121,19945090,0.6,0.5,0.7,0.1,0.0%
,"1999","1999","25-34 years","25-34","Male","M",119,20233316,0.6,0.5,0.7,0.1,0.0%
,"1999","1999","35-44 years","35-44","Female","F",366,22669604,1.6,1.4,1.8,0.1,0.1%
,"1999","1999","35-44 years","35-44","Male","M",322,22407073,1.4,1.3,1.6,0.1,0.1%
,"1999","1999","45-54 years","45-54","Female","F",791,18632305,4.2,3.9,4.5,0.2,0.2%
,"1999","1999","45-54 years","45-54","Male","M",853,17945514,4.8,4.4,5.1,0.2,0.2%
,"1999","1999","55-64 years","55-64","Female","F",1362,12378763,11.0,10.4,11.6,0.3,0.3%
,"1999","1999","55-64 years","55-64","Male","M",1722,11399263,15.1,14.4,15.8,0.4,0.4%
,"1999","1999","65-74 years","65-74","Female","F",2162,10125424,21.4,20.5,22.3,0.5,0.5%
,"1999","1999","65-74 years","65-74","Male","M",2810,8293485,33.9,32.6,35.1,0.6,0.6%
,"1999","1999","75-84 years","75-84","Female","F",2154,7411198,29.1,27.8,30.3,0.6,0.5%
,"1999","1999","75-84 years","75-84","Male","M",2486,4813716,51.6,49.6,53.7,1.0,0.5%
,"1999","1999","85+ years","85+","Female","F",995,2960708,33.6,31.5,35.7,1.1,0.2%
,"1999","1999","85+ years","85+","Male","M",876,1193310,73.4,68.5,78.3,2.5,0.2%
,"1999","1999","Not Stated","NS","Female","F",0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0.0%
,"1999","1999","Not Stated","NS","Male","M",0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0.0%
,"2000","2000","< 1 year","1","Female","F",Suppressed,1856631,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed
,"2000","2000","< 1 year","1","Male","M",Suppressed,1949017,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed
,"2000","2000","1-4 years","1-4","Female","F",19,7508434,Unreliable,0.2,0.4,0.1,0.0%
,"2000","2000","1-4 years","1-4","Male","M",17,7861716,Unreliable,0.1,0.3,0.1,0.0%
,"2000","2000","5-14 years","5-14","Female","F",42,20034103,0.2,0.2,0.3,0.0,0.0%
,"2000","2000","5-14 years","5-14","Male","M",38,21043474,0.2,0.1,0.2,0.0,0.0%
,"2000","2000","15-24 years","15-24","Female","F",76,19105073,0.4,0.3,0.5,0.0,0.0%
,"2000","2000","15-24 years","15-24","Male","M",94,20078818,0.5,0.4,0.6,0.0,0.0%
