"Notes","Year","Year Code","Ten-Year Age Groups","Ten-Year Age Groups Code","Sex","Sex Code",Deaths,Population,Crude Rate,Crude Rate Lower 95% Confidence Interval,Crude Rate Upper 95% Confidence Interval,Crude Rate Standard Error,% of Total Deaths
,"2018","2018","< 1 year","1","Female","F",Suppressed,1879703,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed
,"2018","2018","< 1 year","1","Male","M",Suppressed,1968505,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed
,"2018","2018","1-4 years","1-4","Female","F",12,7798370,0.2,0.1,0.3,0.0,0.0%
,"2018","2018","1-4 years","1-4","Male","M",10,8163697,0.1,0.1,0.2,0.0,0.0%
,"2018","2018","5-14 years","5-14","Female","F",30,20100339,0.1,0.1,0.2,0.0,0.0%
,"2018","2018","5-14 years","5-14","Male","M",19,20974830,0.1,0.1,0.1,0.0,0.0%
,"2018","2018","15-24 years","15-24","Female","F",56,20994345,0.3,0.2,0.3,0.0,0.0%
,"2018","2018","15-24 years","15-24","Male","M",64,21976455,0.3,0.2,0.4,0.0,0.0%
,"2018","2018","25-34 years","25-34","Female","F",128,22487065,0.6,0.5,0.7,0.1,0.1%
,"2018","2018","25-34 years","25-34","Male","M",129,23210709,0.6,0.5,0.7,0.0,0.1%
,"2018","2018","35-44 years","35-44","Female","F",375,20690288,1.8,1.6,2.0,0.1,0.2%
,"2018","2018","35-44 years","35-44","Male","M",279,20587600,1.4,1.2,1.5,0.1,0.1%
,"2018","2018","45-54 years","45-54","Female","F",1103,21090497,5.2,4.9,5.5,0.2,0.6%
,"2018","2018","45-54 years","45-54","Male","M",1018,20541202,5.0,4.7,5.3,0.2,0.5%
,"2018","2018","55-64 years","55-64","Female","F",2777,21873773,12.7,12.2,13.2,0.2,1.4%
,"2018","2018","55-64 years","55-64","Male","M",3167,20398863,15.5,15.0,16.1,0.3,1.6%
,"2018","2018","65-74 years","65-74","Female","F",3635,16246231,22.4,21.6,23.1,0.4,1.9%
,"2018","2018","65-74 years","65-74","Male","M",4645,14246085,32.6,31.7,33.5,0.5,2.4%
,"2018","2018","75-84 years","75-84","Female","F",2627,8659334,30.3,29.2,31.5,0.6,1.3%
,"2018","2018","75-84 years","75-84","Male","M",3573,6735040,53.1,51.3,54.8,0.9,1.8%
,"2018","2018","85+ years","85+","Female","F",1187,4218810,28.1,26.5,29.7,0.8,0.6%
,"2018","2018","85+ years","85+","Male","M",1566,2325693,67.3,64.0,70.7,1.7,0.8%
,"2018","2018","Not Stated","NS","Female","F",0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0.0%
,"2018","2018","Not Stated","NS","Male","M",Suppressed,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Suppressed
,"2019","2019","< 1 year","1","Female","F",Suppressed,1847935,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed
,"2019","2019","< 1 year","1","Male","M",Suppressed,1935117,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed
,"2019","2019","1-4 years","1-4","Female","F",10,7719541,0.1,0.1,0.2,0.0,0.0%
,"2019","2019","1-4 years","1-4","Male","M",Suppressed,8074090,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed
,"2019","2019","5-14 years","5-14","Female","F",28,20053140,0.1,0.1,0.2,0.0,0.0%
,"2019","2019","5-14 years","5-14","Male","M",20,20941023,0.1,0.1,0.1,0.0,0.0%
,"2019","2019","15-24 years","15-24","Female","F",42,20877151,0.2,0.1,0.3,0.0,0.0%
,"2019","2019","15-24 years","15-24","Male","M",74,21810359,0.3,0.3,0.4,0.0,0.0%
,"2019","2019","25-34 years","25-34","Female","F",144,22581141,0.6,0.5,0.7,0.1,0.1%
,"2019","2019","25-34 years","25-34","Male","M",155,23359180,0.7,0.6,0.8,0.1,0.1%
,"2019","2019","35-44 years","35-44","Female","F",385,20867064,1.8,1.7,2.0,0.1,0.2%
,"2019","2019","35-44 years","35-44","Male","M",318,20792080,1.5,1.4,1.7,0.1,0.2%
,"2019","2019","45-54 years","45-54","Female","F",1116,20702936,5.4,5.1,5.7,0.2,0.6%
,"2019","2019","45-54 years","45-54","Male","M",945,20171966,4.7,4.4,5.0,0.2,0.5%
,"2019","2019","55-64 years","55-64","Female","F",2648,21949318,12.1,11.6,12.5,0.2,1.3%
,"2019","2019","55-64 years","55-64","Male","M",3097,20499219,15.1,14.6,15.6,0.3,1.6%
,"2019","2019","65-74 years","65-74","Female","F",3675,16783854,21.9,21.2,22.6,0.4,1.9%
,"2019","2019","65-74 years","65-74","Male","M",4728,14699579,32.2,31.2,33.1,0.5,2.4%
,"2019","2019","75-84 years","75-84","Female","F",2661,8971649,29.7,28.5,30.8,0.6,1.4%
,"2019","2019","75-84 years","75-84","Male","M",3844,6998223,54.9,53.2,56.7,0.9,2.0%
,"2019","2019","85+ years","85+","Female","F",1227,4228470,29.0,27.4,30.6,0.8,0.6%
,"2019","2019","85+ years","85+","Male","M",1574,2376488,66.2,63.0,69.5,1.7,0.8%
,"2019","2019","Not Stated","NS","Female","F",0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0.0%
,"2019","2019","Not Stated","NS","Male","M",Suppressed,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Suppressed
,"2020","2020","< 1 year","1","Female","F",Suppressed,1826869,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed
,"2020","2020","< 1 year","1","Male","M",Suppressed,1908141,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed
,"2020","2020","1-4 years","1-4","Female","F",10,7613266,0.1,0.1,0.2,0.0,0.0%
,"2020","2020","1-4 years","1-4","Male","M",10,7953016,0.1,0.1,0.2,0.0,0.0%
,"2020","2020","5-14 years","5-14","Female","F",14,20050413,0.1,0.0,0.1,0.0,0.0%
,"2020","2020","5-14 years","5-14","Male","M",22,20941721,0.1,0.1,0.2,0.0,0.0%
,"2020","2020","15-24 years","15-24","Female","F",46,20828241,0.2,0.2,0.3,0.0,0.0%
,"2020","2020","15-24 years","15-24","Male","M",52,21727443,0.2,0.2,0.3,0.0,0.0%
,"2020","2020","25-34 years","25-34","Female","F",110,22625267,0.5,0.4,0.6,0.0,0.1%
,"2020","2020","25-34 years","25-34","Male","M",125,23444379,0.5,0.4,0.6,0.0,0.1%
,"2020","2020","35-44 years","35-44","Female","F",370,21090324,1.8,1.6,1.9,0.1,0.2%
,"2020","2020","35-44 years","35-44","Male","M",322,21045868,1.5,1.4,1.7,0.1,0.2%
,"2020","2020","45-54 years","45-54","Female","F",1065,20441441,5.2,4.9,5.5,0.2,0.5%
,"2020","2020","45-54 years","45-54","Male","M",892,19924692,4.5,4.2,4.8,0.1,0.5%
,"2020","2020","55-64 years","55-64","Female","F",2714,21914243,12.4,11.9,12.9,0.2,1.4%
,"2020","2020","55-64 years","55-64","Male","M",3015,20489434,14.7,14.2,15.2,0.3,1.5%
,"2020","2020","65-74 years","65-74","Female","F",3677,17365858,21.2,20.5,21.9,0.3,1.9%
,"2020","2020","65-74 years","65-74","Male","M",4796,15183540,31.6,30.7,32.5,0.5,2.4%
,"2020","2020","75-84 years","75-84","Female","F",2676,9228272,29.0,27.9,30.1,0.6,1.4%
,"2020","2020","75-84 years","75-84","Male","M",3721,7223275,51.5,49.9,53.2,0.8,1.9%
,"2020","2020","85+ years","85+","Female","F",1018,4243727,24.0,22.5,25.5,0.8,0.5%
,"2020","2020","85+ years","85+","Male","M",1503,2414693,62.2,59.1,65.4,1.6,0.8%
,"2020","2020","Not Stated","NS","Female","F",0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0.0%
,"2020","2020","Not Stated","NS","Male","M",0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0.0%
,"2021","2021","< 1 year","1","Female","F",Suppressed,1742991,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed
,"2021","2021","< 1 year","1","Male","M",Suppressed,1821502,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed
,"2021","2021","1-4 years","1-4","Female","F",Suppressed,7459995,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed
,"2021","2021","1-4 years","1-4","Male","M",12,7802850,0.2,0.1,0.3,0.0,0.0%
,"2021","2021","5-14 years","5-14","Female","F",22,20374951,0.1,0.1,0.2,0.0,0.0%
,"2021","2021","5-14 years","5-14","Male","M",30,21364381,0.1,0.1,0.2,0.0,0.0%
,"2021","2021","15-24 years","15-24","Female","F",37,21092449,0.2,0.1,0.2,0.0,0.0%
,"2021","2021","15-24 years","15-24","Male","M",58,21996214,0.3,0.2,0.3,0.0,0.0%
,"2021","2021","25-34 years","25-34","Female","F",137,22441743,0.6,0.5,0.7,0.1,0.1%
,"2021","2021","25-34 years","25-34","Male","M",135,23053362,0.6,0.5,0.7,0.1,0.1%
,"2021","2021","35-44 years","35-44","Female","F",427,21546241,2.0,1.8,2.2,0.1,0.2%
,"2021","2021","35-44 years","35-44","Male","M",325,21857613,1.5,1.3,1.6,0.1,0.2%
,"2021","2021","45-54 years","45-54","Female","F",1059,20376477,5.2,4.9,5.5,0.2,0.5%
,"2021","2021","45-54 years","45-54","Male","M",966,20311959,4.8,4.5,5.1,0.2,0.5%
,"2021","2021","55-64 years","55-64","Female","F",2782,21839746,12.7,12.3,13.2,0.2,1.4%
,"2021","2021","55-64 years","55-64","Male","M",3045,20963318,14.5,14.0,15.0,0.3,1.6%
,"2021","2021","65-74 years","65-74","Female","F",3935,17797036,22.1,21.4,22.8,0.4,2.0%
,"2021","2021","65-74 years","65-74","Male","M",4888,15869086,30.8,29.9,31.7,0.4,2.5%
