"Notes","Year","Year Code","Ten-Year Age Groups","Ten-Year Age Groups Code","Sex","Sex Code",Deaths,Population,Crude Rate,Crude Rate Lower 95% Confidence Interval,Crude Rate Upper 95% Confidence Interval,Crude Rate Standard Error,% of Total Deaths
,"2018","2018","< 1 year","1","Female","F",24,1879703,1.3,0.8,1.9,0.3,0.0%
,"2018","2018","< 1 year","1","Male","M",27,1968505,1.4,0.9,2.0,0.3,0.0%
"Total","2018","2018","< 1 year","1",,,51,3848208,1.3,1.0,1.7,0.2,0.0%
,"2018","2018","1-4 years","1-4","Female","F",143,7798370,1.8,1.5,2.1,0.2,0.0%
,"2018","2018","1-4 years","1-4","Male","M",183,8163697,2.2,1.9,2.6,0.2,0.0%
"Total","2018","2018","1-4 years","1-4",,,326,15962067,2.0,1.8,2.3,0.1,0.0%
,"2018","2018","5-14 years","5-14","Female","F",395,20100339,2.0,1.8,2.2,0.1,0.0%
,"2018","2018","5-14 years","5-14","Male","M",448,20974830,2.1,1.9,2.3,0.1,0.0%
"Total","2018","2018","5-14 years","5-14",,,843,41075169,2.1,1.9,2.2,0.1,0.0%
,"2018","2018","15-24 years","15-24","Female","F",516,20994345,2.5,2.2,2.7,0.1,0.0%
,"2018","2018","15-24 years","15-24","Male","M",855,21976455,3.9,3.6,4.2,0.1,0.0%
"Total","2018","2018","15-24 years","15-24",,,1371,42970800,3.2,3.0,3.4,0.1,0.0%
,"2018","2018","25-34 years","25-34","Female","F",1946,22487065,8.7,8.3,9.0,0.2,0.0%
,"2018","2018","25-34 years","25-34","Male","M",1738,23210709,7.5,7.1,7.8,0.2,0.0%
"Total","2018","2018","25-34 years","25-34",,,3684,45697774,8.1,7.8,8.3,0.1,0.1%
,"2018","2018","35-44 years","35-44","Female","F",6084,20690288,29.4,28.7,30.1,0.4,0.1%
,"2018","2018","35-44 years","35-44","Male","M",4556,20587600,22.1,21.5,22.8,0.3,0.1%
"Total","2018","2018","35-44 years","35-44",,,10640,41277888,25.8,25.3,26.3,0.2,0.3%
,"2018","2018","45-54 years","45-54","Female","F",19388,21090497,91.9,90.6,93.2,0.7,0.5%
,"2018","2018","45-54 years","45-54","Male","M",17913,20541202,87.2,85.9,88.5,0.7,0.4%
"Total","2018","2018","45-54 years","45-54",,,37301,41631699,89.6,88.7,90.5,0.5,0.9%
,"2018","2018","55-64 years","55-64","Female","F",52058,21873773,238.0,235.9,240.0,1.0,1.2%
,"2018","2018","55-64 years","55-64","Male","M",61889,20398863,303.4,301.0,305.8,1.2,1.5%
"Total","2018","2018","55-64 years","55-64",,,113947,42272636,269.6,268.0,271.1,0.8,2.7%
,"2018","2018","65-74 years","65-74","Female","F",75739,16246231,466.2,462.9,469.5,1.7,1.8%
,"2018","2018","65-74 years","65-74","Male","M",93317,14246085,655.0,650.8,659.2,2.1,2.2%
"Total","2018","2018","65-74 years","65-74",,,169056,30492316,554.4,551.8,557.1,1.3,4.0%
,"2018","2018","75-84 years","75-84","Female","F",74047,8659334,855.1,849.0,861.3,3.1,1.7%
,"2018","2018","75-84 years","75-84","Male","M",84747,6735040,1258.3,1249.8,1266.8,4.3,2.0%
"Total","2018","2018","75-84 years","75-84",,,158794,15394374,1031.5,1026.4,1036.6,2.6,3.7%
,"2018","2018","85+ years","85+","Female","F",53378,4218810,1265.2,1254.5,1276.0,5.5,1.3%
,"2018","2018","85+ years","85+","Male","M",49874,2325693,2144.5,2125.7,2163.3,9.6,1.2%
"Total","2018","2018","85+ years","85+",,,103252,6544503,1577.7,1568.1,1587.3,4.9,2.4%
,"2018","2018","Not Stated","NS","Female","F",Suppressed,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Suppressed
,"2018","2018","Not Stated","NS","Male","M",Suppressed,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Suppressed
"Total","2018","2018","Not Stated","NS",,,Suppressed,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Suppressed
"Total","2018","2018",,,,,599274,327167434,183.2,182.7,183.6,0.2,14.1%
,"2019","2019","< 1 year","1","Female","F",23,1847935,1.2,0.8,1.9,0.3,0.0%
,"2019","2019","< 1 year","1","Male","M",32,1935117,1.7,1.1,2.3,0.3,0.0%
"Total","2019","2019","< 1 year","1",,,55,3783052,1.5,1.1,1.9,0.2,0.0%
,"2019","2019","1-4 years","1-4","Female","F",135,7719541,1.7,1.5,2.0,0.2,0.0%
,"2019","2019","1-4 years","1-4","Male","M",150,8074090,1.9,1.6,2.2,0.2,0.0%
"Total","2019","2019","1-4 years","1-4",,,285,15793631,1.8,1.6,2.0,0.1,0.0%
,"2019","2019","5-14 years","5-14","Female","F",361,20053140,1.8,1.6,2.0,0.1,0.0%
,"2019","2019","5-14 years","5-14","Male","M",414,20941023,2.0,1.8,2.2,0.1,0.0%
"Total","2019","2019","5-14 years","5-14",,,775,40994163,1.9,1.8,2.0,0.1,0.0%
,"2019","2019","15-24 years","15-24","Female","F",561,20877151,2.7,2.5,2.9,0.1,0.0%
,"2019","2019","15-24 years","15-24","Male","M",827,21810359,3.8,3.5,4.1,0.1,0.0%
"Total","2019","2019","15-24 years","15-24",,,1388,42687510,3.3,3.1,3.4,0.1,0.0%
,"2019","2019","25-34 years","25-34","Female","F",1833,22581141,8.1,7.7,8.5,0.2,0.0%
,"2019","2019","25-34 years","25-34","Male","M",1744,23359180,7.5,7.1,7.8,0.2,0.0%
"Total","2019","2019","25-34 years","25-34",,,3577,45940321,7.8,7.5,8.0,0.1,0.1%
,"2019","2019","35-44 years","35-44","Female","F",6174,20867064,29.6,28.8,30.3,0.4,0.1%
,"2019","2019","35-44 years","35-44","Male","M",4521,20792080,21.7,21.1,22.4,0.3,0.1%
"Total","2019","2019","35-44 years","35-44",,,10695,41659144,25.7,25.2,26.2,0.2,0.3%
,"2019","2019","45-54 years","45-54","Female","F",18529,20702936,89.5,88.2,90.8,0.7,0.4%
,"2019","2019","45-54 years","45-54","Male","M",17058,20171966,84.6,83.3,85.8,0.6,0.4%
