"Notes","Sex","Sex Code","Year","Year Code","Ten-Year Age Groups","Ten-Year Age Groups Code",Deaths,Population,Crude Rate,Crude Rate Lower 95% Confidence Interval,Crude Rate Upper 95% Confidence Interval,Crude Rate Standard Error,% of Total Deaths
,"Female","F","2018","2018","< 1 year","1",178,1879703,9.5,8.1,10.9,0.7,0.0%
,"Female","F","2018","2018","1-4 years","1-4",98,7798370,1.3,1.0,1.5,0.1,0.0%
,"Female","F","2018","2018","5-14 years","5-14",126,20100339,0.6,0.5,0.7,0.1,0.0%
,"Female","F","2018","2018","15-24 years","15-24",337,20994345,1.6,1.4,1.8,0.1,0.0%
,"Female","F","2018","2018","25-34 years","25-34",1052,22487065,4.7,4.4,5.0,0.1,0.1%
,"Female","F","2018","2018","35-44 years","35-44",2228,20690288,10.8,10.3,11.2,0.2,0.1%
,"Female","F","2018","2018","45-54 years","45-54",5836,21090497,27.7,27.0,28.4,0.4,0.4%
,"Female","F","2018","2018","55-64 years","55-64",14081,21873773,64.4,63.3,65.4,0.5,0.9%
,"Female","F","2018","2018","65-74 years","65-74",22174,16246231,136.5,134.7,138.3,0.9,1.4%
,"Female","F","2018","2018","75-84 years","75-84",26354,8659334,304.3,300.7,308.0,1.9,1.6%
,"Female","F","2018","2018","85+ years","85+",30494,4218810,722.8,714.7,730.9,4.1,1.9%
,"Female","F","2018","2018","Not Stated","NS",Suppressed,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Suppressed
,"Female","F","2019","2019","< 1 year","1",179,1847935,9.7,8.3,11.1,0.7,0.0%
,"Female","F","2019","2019","1-4 years","1-4",98,7719541,1.3,1.0,1.5,0.1,0.0%
,"Female","F","2019","2019","5-14 years","5-14",133,20053140,0.7,0.6,0.8,0.1,0.0%
,"Female","F","2019","2019","15-24 years","15-24",299,20877151,1.4,1.3,1.6,0.1,0.0%
,"Female","F","2019","2019","25-34 years","25-34",1086,22581141,4.8,4.5,5.1,0.1,0.1%
,"Female","F","2019","2019","35-44 years","35-44",2189,20867064,10.5,10.1,10.9,0.2,0.1%
,"Female","F","2019","2019","45-54 years","45-54",5556,20702936,26.8,26.1,27.5,0.4,0.3%
,"Female","F","2019","2019","55-64 years","55-64",13989,21949318,63.7,62.7,64.8,0.5,0.9%
,"Female","F","2019","2019","65-74 years","65-74",22078,16783854,131.5,129.8,133.3,0.9,1.4%
,"Female","F","2019","2019","75-84 years","75-84",25898,8971649,288.7,285.1,292.2,1.8,1.6%
,"Female","F","2019","2019","85+ years","85+",28328,4228470,669.9,662.1,677.7,4.0,1.8%
,"Female","F","2019","2019","Not Stated","NS",Suppressed,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Suppressed
,"Female","F","2020","2020","< 1 year","1",168,1826869,9.2,7.8,10.6,0.7,0.0%
,"Female","F","2020","2020","1-4 years","1-4",64,7613266,0.8,0.6,1.1,0.1,0.0%
,"Female","F","2020","2020","5-14 years","5-14",89,20050413,0.4,0.4,0.5,0.0,0.0%
,"Female","F","2020","2020","15-24 years","15-24",314,20828241,1.5,1.3,1.7,0.1,0.0%
,"Female","F","2020","2020","25-34 years","25-34",1284,22625267,5.7,5.4,6.0,0.2,0.1%
,"Female","F","2020","2020","35-44 years","35-44",2866,21090324,13.6,13.1,14.1,0.3,0.2%
,"Female","F","2020","2020","45-54 years","45-54",6939,20441441,33.9,33.1,34.7,0.4,0.4%
,"Female","F","2020","2020","55-64 years","55-64",17106,21914243,78.1,76.9,79.2,0.6,1.1%
,"Female","F","2020","2020","65-74 years","65-74",27451,17365858,158.1,156.2,159.9,1.0,1.7%
,"Female","F","2020","2020","75-84 years","75-84",30085,9228272,326.0,322.3,329.7,1.9,1.9%
,"Female","F","2020","2020","85+ years","85+",30608,4243727,721.3,713.2,729.3,4.1,1.9%
,"Female","F","2020","2020","Not Stated","NS",Suppressed,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Suppressed
,"Female","F","2021","2021","< 1 year","1",146,1742991,8.4,7.0,9.7,0.7,0.0%
,"Female","F","2021","2021","1-4 years","1-4",68,7459995,0.9,0.7,1.2,0.1,0.0%
,"Female","F","2021","2021","5-14 years","5-14",99,20374951,0.5,0.4,0.6,0.0,0.0%
,"Female","F","2021","2021","15-24 years","15-24",353,21092449,1.7,1.5,1.8,0.1,0.0%
,"Female","F","2021","2021","25-34 years","25-34",1485,22441743,6.6,6.3,7.0,0.2,0.1%
,"Female","F","2021","2021","35-44 years","35-44",3696,21546241,17.2,16.6,17.7,0.3,0.2%
,"Female","F","2021","2021","45-54 years","45-54",8030,20376477,39.4,38.5,40.3,0.4,0.5%
,"Female","F","2021","2021","55-64 years","55-64",19517,21839746,89.4,88.1,90.6,0.6,1.2%
,"Female","F","2021","2021","65-74 years","65-74",30782,17797036,173.0,171.0,174.9,1.0,1.9%
,"Female","F","2021","2021","75-84 years","75-84",31612,9037561,349.8,345.9,353.6,2.0,2.0%
,"Female","F","2021","2021","85+ years","85+",28706,3799813,755.5,746.7,764.2,4.5,1.8%
,"Female","F","2021","2021","Not Stated","NS",0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0.0%
,"Female","F","2022","2022","< 1 year","1",186,1800246,10.3,8.8,11.8,0.8,0.0%
,"Female","F","2022","2022","1-4 years","1-4",99,7263012,1.4,1.1,1.7,0.1,0.0%
,"Female","F","2022","2022","5-14 years","5-14",136,19965235,0.7,0.6,0.8,0.1,0.0%
,"Female","F","2022","2022","15-24 years","15-24",347,21657540,1.6,1.4,1.8,0.1,0.0%
,"Female","F","2022","2022","25-34 years","25-34",1257,22311738,5.6,5.3,5.9,0.2,0.1%
,"Female","F","2022","2022","35-44 years","35-44",2946,21575176,13.7,13.2,14.1,0.3,0.2%
,"Female","F","2022","2022","45-54 years","45-54",6839,20152015,33.9,33.1,34.7,0.4,0.4%
,"Female","F","2022","2022","55-64 years","55-64",17019,21413534,79.5,78.3,80.7,0.6,1.1%
,"Female","F","2022","2022","65-74 years","65-74",28990,17877767,162.2,160.3,164.0,1.0,1.8%
,"Female","F","2022","2022","75-84 years","75-84",32218,9785700,329.2,325.6,332.8,1.8,2.0%
,"Female","F","2022","2022","85+ years","85+",28820,4202041,685.9,677.9,693.8,4.0,1.8%
,"Female","F","2022","2022","Not Stated","NS",0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0.0%
,"Female","F","2023","2023","< 1 year","1",168,1784146,9.4,8.0,10.8,0.7,0.0%
,"Female","F","2023","2023","1-4 years","1-4",101,7267615,1.4,1.1,1.7,0.1,0.0%
,"Female","F","2023","2023","5-14 years","5-14",160,20014683,0.8,0.7,0.9,0.1,0.0%
,"Female","F","2023","2023","15-24 years","15-24",312,21463206,1.5,1.3,1.6,0.1,0.0%
,"Female","F","2023","2023","25-34 years","25-34",1095,22483329,4.9,4.6,5.2,0.1,0.1%
,"Female","F","2023","2023","35-44 years","35-44",2656,22028457,12.1,11.6,12.5,0.2,0.2%
,"Female","F","2023","2023","45-54 years","45-54",5948,20306672,29.3,28.5,30.0,0.4,0.4%
,"Female","F","2023","2023","55-64 years","55-64",14926,21350566,69.9,68.8,71.0,0.6,0.9%
,"Female","F","2023","2023","65-74 years","65-74",26107,18350204,142.3,140.5,144.0,0.9,1.6%
,"Female","F","2023","2023","75-84 years","75-84",31216,10205598,305.9,302.5,309.3,1.7,2.0%
,"Female","F","2023","2023","85+ years","85+",27706,3911019,708.4,700.1,716.8,4.3,1.7%
,"Female","F","2023","2023","Not Stated","NS",0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0.0%
,"Female","F","2024 ","2024","< 1 year","1",150,1768890,8.5,7.1,9.8,0.7,0.0%
,"Female","F","2024 ","2024","1-4 years","1-4",91,7329381,1.2,1.0,1.5,0.1,0.0%
,"Female","F","2024 ","2024","5-14 years","5-14",134,20078036,0.7,0.6,0.8,0.1,0.0%
,"Female","F","2024 ","2024","15-24 years","15-24",287,21884177,1.3,1.2,1.5,0.1,0.0%
,"Female","F","2024 ","2024","25-34 years","25-34",934,22935413,4.1,3.8,4.3,0.1,0.1%
,"Female","F","2024 ","2024","35-44 years","35-44",2564,22583276,11.4,10.9,11.8,0.2,0.2%
,"Female","F","2024 ","2024","45-54 years","45-54",5797,20457911,28.3,27.6,29.1,0.4,0.4%
,"Female","F","2024 ","2024","55-64 years","55-64",14269,21246717,67.2,66.1,68.3,0.6,0.9%
,"Female","F","2024 ","2024","65-74 years","65-74",25914,18745293,138.2,136.6,139.9,0.9,1.6%
,"Female","F","2024 ","2024","75-84 years","75-84",31510,10722882,293.9,290.6,297.1,1.7,2.0%
,"Female","F","2024 ","2024","85+ years","85+",27231,4021130,677.2,669.2,685.2,4.1,1.7%
