"Notes","Year","Year Code","Sex","Sex Code","Ten-Year Age Groups","Ten-Year Age Groups Code",Deaths,Population,Crude Rate,Crude Rate Lower 95% Confidence Interval,Crude Rate Upper 95% Confidence Interval,Crude Rate Standard Error,% of Total Deaths
,"1999","1999","Female","F","< 1 year","1",12291,1852123,663.6,651.9,675.3,6.0,0.0%
,"1999","1999","Female","F","1-4 years","1-4",2274,7493614,30.3,29.1,31.6,0.6,0.0%
,"1999","1999","Female","F","5-14 years","5-14",3103,19908282,15.6,15.0,16.1,0.3,0.0%
,"1999","1999","Female","F","15-24 years","15-24",8242,18860184,43.7,42.8,44.6,0.5,0.0%
,"1999","1999","Female","F","25-34 years","25-34",12790,19945090,64.1,63.0,65.2,0.6,0.0%
,"1999","1999","Female","F","35-44 years","35-44",32138,22669604,141.8,140.2,143.3,0.8,0.1%
,"1999","1999","Female","F","45-54 years","45-54",57315,18632305,307.6,305.1,310.1,1.3,0.1%
,"1999","1999","Female","F","55-64 years","55-64",96255,12378763,777.6,772.7,782.5,2.5,0.2%
,"1999","1999","Female","F","65-74 years","65-74",197680,10125424,1952.3,1943.7,1960.9,4.4,0.3%
,"1999","1999","Female","F","75-84 years","75-84",357620,7411198,4825.4,4809.6,4841.2,8.1,0.6%
,"1999","1999","Female","F","85+ years","85+",436152,2960708,14731.3,14687.6,14775.1,22.3,0.8%
,"1999","1999","Female","F","Not Stated","NS",79,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0.0%
"Total","1999","1999","Female","F",,,1215939,142237295,854.9,853.3,856.4,0.8,2.1%
,"1999","1999","Male","M","< 1 year","1",15646,1943639,805.0,792.4,817.6,6.4,0.0%
,"1999","1999","Male","M","1-4 years","1-4",2975,7846168,37.9,36.6,39.3,0.7,0.0%
,"1999","1999","Male","M","5-14 years","5-14",4492,20911542,21.5,20.9,22.1,0.3,0.0%
,"1999","1999","Male","M","15-24 years","15-24",22414,19815847,113.1,111.6,114.6,0.8,0.0%
,"1999","1999","Male","M","25-34 years","25-34",28276,20233316,139.7,138.1,141.4,0.8,0.0%
,"1999","1999","Male","M","35-44 years","35-44",57118,22407073,254.9,252.8,257.0,1.1,0.1%
,"1999","1999","Male","M","45-54 years","45-54",95659,17945514,533.1,529.7,536.4,1.7,0.2%
,"1999","1999","Male","M","55-64 years","55-64",142724,11399263,1252.0,1245.6,1258.5,3.3,0.3%
,"1999","1999","Male","M","65-74 years","65-74",254920,8293485,3073.7,3061.8,3085.7,6.1,0.4%
,"1999","1999","Male","M","75-84 years","75-84",340970,4813716,7083.3,7059.5,7107.1,12.1,0.6%
,"1999","1999","Male","M","85+ years","85+",209989,1193310,17597.2,17521.9,17672.5,38.4,0.4%
,"1999","1999","Male","M","Not Stated","NS",277,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0.0%
"Total","1999","1999","Male","M",,,1175460,136802873,859.2,857.7,860.8,0.8,2.1%
"Total","1999","1999",,,,,2391399,279040168,857.0,855.9,858.1,0.6,4.2%
,"2000","2000","Female","F","< 1 year","1",12317,1856631,663.4,651.7,675.1,6.0,0.0%
,"2000","2000","Female","F","1-4 years","1-4",2155,7508434,28.7,27.5,29.9,0.6,0.0%
,"2000","2000","Female","F","5-14 years","5-14",3012,20034103,15.0,14.5,15.6,0.3,0.0%
,"2000","2000","Female","F","15-24 years","15-24",8236,19105073,43.1,42.2,44.0,0.5,0.0%
,"2000","2000","Female","F","25-34 years","25-34",12561,19771195,63.5,62.4,64.6,0.6,0.0%
,"2000","2000","Female","F","35-44 years","35-44",32501,22700729,143.2,141.6,144.7,0.8,0.1%
,"2000","2000","Female","F","45-54 years","45-54",59943,19180722,312.5,310.0,315.0,1.3,0.1%
,"2000","2000","Female","F","55-64 years","55-64",97525,12629328,772.2,767.4,777.1,2.5,0.2%
,"2000","2000","Female","F","65-74 years","65-74",193801,10087712,1921.2,1912.6,1929.7,4.4,0.3%
,"2000","2000","Female","F","75-84 years","75-84",360226,7481827,4814.7,4799.0,4830.4,8.0,0.6%
,"2000","2000","Female","F","85+ years","85+",443429,3012589,14719.2,14675.9,14762.5,22.1,0.8%
,"2000","2000","Female","F","Not Stated","NS",67,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0.0%
"Total","2000","2000","Female","F",,,1225773,143368343,855.0,853.5,856.5,0.8,2.2%
,"2000","2000","Male","M","< 1 year","1",15718,1949017,806.5,793.9,819.1,6.4,0.0%
,"2000","2000","Male","M","1-4 years","1-4",2824,7861716,35.9,34.6,37.2,0.7,0.0%
,"2000","2000","Male","M","5-14 years","5-14",4401,21043474,20.9,20.3,21.5,0.3,0.0%
,"2000","2000","Male","M","15-24 years","15-24",23071,20078818,114.9,113.4,116.4,0.8,0.0%
,"2000","2000","Male","M","25-34 years","25-34",27890,20120529,138.6,137.0,140.2,0.8,0.0%
,"2000","2000","Male","M","35-44 years","35-44",57297,22447798,255.2,253.2,257.3,1.1,0.1%
,"2000","2000","Male","M","45-54 years","45-54",100398,18497230,542.8,539.4,546.1,1.7,0.2%
,"2000","2000","Male","M","55-64 years","55-64",143321,11645356,1230.7,1224.3,1237.1,3.3,0.3%
,"2000","2000","Male","M","65-74 years","65-74",247408,8303274,2979.6,2967.9,2991.4,6.0,0.4%
,"2000","2000","Male","M","75-84 years","75-84",340219,4879353,6972.6,6949.2,6996.1,12.0,0.6%
,"2000","2000","Male","M","85+ years","85+",214742,1226998,17501.4,17427.4,17575.4,37.8,0.4%
,"2000","2000","Male","M","Not Stated","NS",289,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0.0%
"Total","2000","2000","Male","M",,,1177578,138053563,853.0,851.4,854.5,0.8,2.1%
"Total","2000","2000",,,,,2403351,281421906,854.0,852.9,855.1,0.6,4.2%
,"2001","2001","Female","F","< 1 year","1",12091,1962905,616.0,605.0,627.0,5.6,0.0%
,"2001","2001","Female","F","1-4 years","1-4",2208,7468536,29.6,28.3,30.8,0.6,0.0%
,"2001","2001","Female","F","5-14 years","5-14",2927,20075767,14.6,14.1,15.1,0.3,0.0%
,"2001","2001","Female","F","15-24 years","15-24",8289,19585847,42.3,41.4,43.2,0.5,0.0%
,"2001","2001","Female","F","25-34 years","25-34",12926,19567043,66.1,64.9,67.2,0.6,0.0%
,"2001","2001","Female","F","35-44 years","35-44",33510,22642429,148.0,146.4,149.6,0.8,0.1%
,"2001","2001","Female","F","45-54 years","45-54",63217,20047081,315.3,312.9,317.8,1.3,0.1%
,"2001","2001","Female","F","55-64 years","55-64",99181,13043566,760.4,755.7,765.1,2.4,0.2%
,"2001","2001","Female","F","65-74 years","65-74",189379,10043126,1885.7,1877.2,1894.2,4.3,0.3%
,"2001","2001","Female","F","75-84 years","75-84",361187,7589733,4758.9,4743.4,4774.4,7.9,0.6%
,"2001","2001","Female","F","85+ years","85+",447998,3051430,14681.6,14638.6,14724.6,21.9,0.8%
,"2001","2001","Female","F","Not Stated","NS",91,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0.0%
"Total","2001","2001","Female","F",,,1233004,145077463,849.9,848.4,851.4,0.8,2.2%
,"2001","2001","Male","M","< 1 year","1",15477,2049753,755.1,743.2,767.0,6.1,0.0%
,"2001","2001","Male","M","1-4 years","1-4",2899,7817023,37.1,35.7,38.4,0.7,0.0%
,"2001","2001","Male","M","5-14 years","5-14",4168,21076273,19.8,19.2,20.4,0.3,0.0%
,"2001","2001","Male","M","15-24 years","15-24",23963,20627723,116.2,114.7,117.6,0.8,0.0%
,"2001","2001","Male","M","25-34 years","25-34",28757,19904479,144.5,142.8,146.1,0.9,0.1%
,"2001","2001","Male","M","35-44 years","35-44",58164,22409323,259.6,257.4,261.7,1.1,0.1%
,"2001","2001","Male","M","45-54 years","45-54",104848,19339187,542.2,538.9,545.4,1.7,0.2%
,"2001","2001","Male","M","55-64 years","55-64",144958,12061729,1201.8,1195.6,1208.0,3.2,0.3%
,"2001","2001","Male","M","65-74 years","65-74",241581,8341053,2896.3,2884.7,2907.8,5.9,0.4%
,"2001","2001","Male","M","75-84 years","75-84",340742,5003885,6809.5,6786.7,6832.4,11.7,0.6%
,"2001","2001","Male","M","85+ years","85+",217533,1261064,17250.0,17177.5,17322.4,37.0,0.4%
,"2001","2001","Male","M","Not Stated","NS",331,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0.0%
"Total","2001","2001","Male","M",,,1183421,139891492,846.0,844.4,847.5,0.8,2.1%
"Total","2001","2001",,,,,2416425,284968955,848.0,846.9,849.0,0.5,4.3%
,"2002","2002","Female","F","< 1 year","1",12317,1932939,637.2,626.0,648.5,5.7,0.0%
,"2002","2002","Female","F","1-4 years","1-4",2052,7564711,27.1,26.0,28.3,0.6,0.0%
,"2002","2002","Female","F","5-14 years","5-14",2952,20071157,14.7,14.2,15.2,0.3,0.0%
,"2002","2002","Female","F","15-24 years","15-24",8630,19898124,43.4,42.5,44.3,0.5,0.0%
,"2002","2002","Female","F","25-34 years","25-34",12619,19518779,64.7,63.5,65.8,0.6,0.0%
,"2002","2002","Female","F","35-44 years","35-44",33547,22439455,149.5,147.9,151.1,0.8,0.1%
,"2002","2002","Female","F","45-54 years","45-54",64663,20357603,317.6,315.2,320.1,1.2,0.1%
,"2002","2002","Female","F","55-64 years","55-64",101979,13853658,736.1,731.6,740.6,2.3,0.2%
,"2002","2002","Female","F","65-74 years","65-74",185969,10016658,1856.6,1848.2,1865.0,4.3,0.3%
,"2002","2002","Female","F","75-84 years","75-84",364150,7664104,4751.4,4735.9,4766.8,7.9,0.6%
,"2002","2002","Female","F","85+ years","85+",455170,3077446,14790.5,14747.5,14833.5,21.9,0.8%
,"2002","2002","Female","F","Not Stated","NS",75,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0.0%
"Total","2002","2002","Female","F",,,1244123,146394634,849.8,848.3,851.3,0.8,2.2%
,"2002","2002","Male","M","< 1 year","1",15717,2018522,778.6,766.5,790.8,6.2,0.0%
,"2002","2002","Male","M","1-4 years","1-4",2806,7913020,35.5,34.1,36.8,0.7,0.0%
,"2002","2002","Male","M","5-14 years","5-14",4198,21062681,19.9,19.3,20.5,0.3,0.0%
,"2002","2002","Male","M","15-24 years","15-24",24416,20956011,116.5,115.0,118.0,0.7,0.0%
,"2002","2002","Male","M","25-34 years","25-34",28736,19830867,144.9,143.2,146.6,0.9,0.1%
,"2002","2002","Male","M","35-44 years","35-44",57593,22201194,259.4,257.3,261.5,1.1,0.1%
