"Notes","Sex","Sex Code","Year","Year Code","Ten-Year Age Groups","Ten-Year Age Groups Code",Deaths,Population,Crude Rate,Crude Rate Lower 95% Confidence Interval,Crude Rate Upper 95% Confidence Interval,Crude Rate Standard Error,% of Total Deaths
,"Female","F","2018","2018","< 1 year","1",9399,1879703,500.0,489.9,510.1,5.2,0.0%
,"Female","F","2018","2018","1-4 years","1-4",1587,7798370,20.4,19.3,21.4,0.5,0.0%
,"Female","F","2018","2018","5-14 years","5-14",2369,20100339,11.8,11.3,12.3,0.2,0.0%
,"Female","F","2018","2018","15-24 years","15-24",8146,20994345,38.8,38.0,39.6,0.4,0.0%
,"Female","F","2018","2018","25-34 years","25-34",17980,22487065,80.0,78.8,81.1,0.6,0.1%
,"Female","F","2018","2018","35-44 years","35-44",29004,20690288,140.2,138.6,141.8,0.8,0.1%
,"Female","F","2018","2018","45-54 years","45-54",63807,21090497,302.5,300.2,304.9,1.2,0.3%
,"Female","F","2018","2018","55-64 years","55-64",146563,21873773,670.0,666.6,673.5,1.8,0.7%
,"Female","F","2018","2018","65-74 years","65-74",230867,16246231,1421.0,1415.3,1426.8,3.0,1.1%
,"Female","F","2018","2018","75-84 years","75-84",328017,8659334,3788.0,3775.1,3801.0,6.6,1.5%
,"Female","F","2018","2018","85+ years","85+",542962,4218810,12870.0,12835.8,12904.3,17.5,2.5%
,"Female","F","2018","2018","Not Stated","NS",35,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0.0%
"Total","Female","F","2018","2018",,,1380736,166038755,831.6,830.2,833.0,0.7,6.3%
,"Female","F","2019","2019","< 1 year","1",9247,1847935,500.4,490.2,510.6,5.2,0.0%
,"Female","F","2019","2019","1-4 years","1-4",1635,7719541,21.2,20.2,22.2,0.5,0.0%
,"Female","F","2019","2019","5-14 years","5-14",2311,20053140,11.5,11.1,12.0,0.2,0.0%
,"Female","F","2019","2019","15-24 years","15-24",8023,20877151,38.4,37.6,39.3,0.4,0.0%
,"Female","F","2019","2019","25-34 years","25-34",17827,22581141,78.9,77.8,80.1,0.6,0.1%
,"Female","F","2019","2019","35-44 years","35-44",29550,20867064,141.6,140.0,143.2,0.8,0.1%
,"Female","F","2019","2019","45-54 years","45-54",61546,20702936,297.3,294.9,299.6,1.2,0.3%
,"Female","F","2019","2019","55-64 years","55-64",147012,21949318,669.8,666.4,673.2,1.7,0.7%
,"Female","F","2019","2019","65-74 years","65-74",235312,16783854,1402.0,1396.3,1407.7,2.9,1.1%
,"Female","F","2019","2019","75-84 years","75-84",332927,8971649,3710.9,3698.3,3723.5,6.4,1.5%
,"Female","F","2019","2019","85+ years","85+",535581,4228470,12666.1,12632.1,12700.0,17.3,2.4%
,"Female","F","2019","2019","Not Stated","NS",44,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0.0%
"Total","Female","F","2019","2019",,,1381015,166582199,829.0,827.6,830.4,0.7,6.3%
,"Female","F","2020","2020","< 1 year","1",8723,1826869,477.5,467.5,487.5,5.1,0.0%
,"Female","F","2020","2020","1-4 years","1-4",1503,7613266,19.7,18.7,20.7,0.5,0.0%
,"Female","F","2020","2020","5-14 years","5-14",2261,20050413,11.3,10.8,11.7,0.2,0.0%
,"Female","F","2020","2020","15-24 years","15-24",9332,20828241,44.8,43.9,45.7,0.5,0.0%
,"Female","F","2020","2020","25-34 years","25-34",21654,22625267,95.7,94.4,97.0,0.7,0.1%
,"Female","F","2020","2020","35-44 years","35-44",35996,21090324,170.7,168.9,172.4,0.9,0.2%
,"Female","F","2020","2020","45-54 years","45-54",71298,20441441,348.8,346.2,351.4,1.3,0.3%
,"Female","F","2020","2020","55-64 years","55-64",169422,21914243,773.1,769.4,776.8,1.9,0.8%
,"Female","F","2020","2020","65-74 years","65-74",282508,17365858,1626.8,1620.8,1632.8,3.1,1.3%
,"Female","F","2020","2020","75-84 years","75-84",393226,9228272,4261.1,4247.8,4274.4,6.8,1.8%
,"Female","F","2020","2020","85+ years","85+",617885,4243727,14560.0,14523.7,14596.3,18.5,2.8%
,"Female","F","2020","2020","Not Stated","NS",37,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0.0%
"Total","Female","F","2020","2020",,,1613845,167227921,965.1,963.6,966.5,0.8,7.3%
,"Female","F","2021","2021","< 1 year","1",9011,1742991,517.0,506.3,527.7,5.4,0.0%
,"Female","F","2021","2021","1-4 years","1-4",1711,7459995,22.9,21.8,24.0,0.6,0.0%
,"Female","F","2021","2021","5-14 years","5-14",2481,20374951,12.2,11.7,12.7,0.2,0.0%
,"Female","F","2021","2021","15-24 years","15-24",10396,21092449,49.3,48.3,50.2,0.5,0.0%
,"Female","F","2021","2021","25-34 years","25-34",24364,22441743,108.6,107.2,109.9,0.7,0.1%
,"Female","F","2021","2021","35-44 years","35-44",43350,21546241,201.2,199.3,203.1,1.0,0.2%
,"Female","F","2021","2021","45-54 years","45-54",80263,20376477,393.9,391.2,396.6,1.4,0.4%
,"Female","F","2021","2021","55-64 years","55-64",185210,21839746,848.0,844.2,851.9,2.0,0.8%
,"Female","F","2021","2021","65-74 years","65-74",305325,17797036,1715.6,1709.5,1721.7,3.1,1.4%
,"Female","F","2021","2021","75-84 years","75-84",397264,9037561,4395.7,4382.0,4409.4,7.0,1.8%
,"Female","F","2021","2021","85+ years","85+",566725,3799813,14914.5,14875.7,14953.4,19.8,2.6%
,"Female","F","2021","2021","Not Stated","NS",23,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0.0%
"Total","Female","F","2021","2021",,,1626123,167509003,970.8,969.3,972.3,0.8,7.4%
,"Female","F","2022","2022","< 1 year","1",9182,1800246,510.0,499.6,520.5,5.3,0.0%
,"Female","F","2022","2022","1-4 years","1-4",1803,7263012,24.8,23.7,26.0,0.6,0.0%
,"Female","F","2022","2022","5-14 years","5-14",2652,19965235,13.3,12.8,13.8,0.3,0.0%
,"Female","F","2022","2022","15-24 years","15-24",9595,21657540,44.3,43.4,45.2,0.5,0.0%
,"Female","F","2022","2022","25-34 years","25-34",21858,22311738,98.0,96.7,99.3,0.7,0.1%
,"Female","F","2022","2022","35-44 years","35-44",38119,21575176,176.7,174.9,178.5,0.9,0.2%
,"Female","F","2022","2022","45-54 years","45-54",68437,20152015,339.6,337.1,342.1,1.3,0.3%
,"Female","F","2022","2022","55-64 years","55-64",163263,21413534,762.4,758.7,766.1,1.9,0.7%
,"Female","F","2022","2022","65-74 years","65-74",283596,17877767,1586.3,1580.5,1592.1,3.0,1.3%
,"Female","F","2022","2022","75-84 years","75-84",397396,9785700,4061.0,4048.4,4073.6,6.4,1.8%
,"Female","F","2022","2022","85+ years","85+",564690,4202041,13438.5,13403.4,13473.5,17.9,2.6%
,"Female","F","2022","2022","Not Stated","NS",16,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0.0%
"Total","Female","F","2022","2022",,,1560607,168004004,928.9,927.5,930.4,0.7,7.1%
,"Female","F","2023","2023","< 1 year","1",9038,1784146,506.6,496.1,517.0,5.3,0.0%
,"Female","F","2023","2023","1-4 years","1-4",1730,7267615,23.8,22.7,24.9,0.6,0.0%
,"Female","F","2023","2023","5-14 years","5-14",2487,20014683,12.4,11.9,12.9,0.2,0.0%
,"Female","F","2023","2023","15-24 years","15-24",9043,21463206,42.1,41.3,43.0,0.4,0.0%
,"Female","F","2023","2023","25-34 years","25-34",19616,22483329,87.2,86.0,88.5,0.6,0.1%
,"Female","F","2023","2023","35-44 years","35-44",35522,22028457,161.3,159.6,162.9,0.9,0.2%
,"Female","F","2023","2023","45-54 years","45-54",61893,20306672,304.8,302.4,307.2,1.2,0.3%
,"Female","F","2023","2023","55-64 years","55-64",146890,21350566,688.0,684.5,691.5,1.8,0.7%
,"Female","F","2023","2023","65-74 years","65-74",266363,18350204,1451.6,1446.0,1457.1,2.8,1.2%
,"Female","F","2023","2023","75-84 years","75-84",386472,10205598,3786.9,3774.9,3798.8,6.1,1.8%
,"Female","F","2023","2023","85+ years","85+",534800,3911019,13674.2,13637.5,13710.8,18.7,2.4%
,"Female","F","2023","2023","Not Stated","NS",25,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0.0%
"Total","Female","F","2023","2023",,,1473879,169165495,871.3,869.9,872.7,0.7,6.7%
,"Female","F","2024 ","2024","< 1 year","1",9149,1768890,517.2,506.6,527.8,5.4,0.0%
,"Female","F","2024 ","2024","1-4 years","1-4",1657,7329381,22.6,21.5,23.7,0.6,0.0%
,"Female","F","2024 ","2024","5-14 years","5-14",2539,20078036,12.6,12.2,13.1,0.3,0.0%
,"Female","F","2024 ","2024","15-24 years","15-24",8025,21884177,36.7,35.9,37.5,0.4,0.0%
,"Female","F","2024 ","2024","25-34 years","25-34",17176,22935413,74.9,73.8,76.0,0.6,0.1%
,"Female","F","2024 ","2024","35-44 years","35-44",33337,22583276,147.6,146.0,149.2,0.8,0.2%
,"Female","F","2024 ","2024","45-54 years","45-54",59127,20457911,289.0,286.7,291.3,1.2,0.3%
,"Female","F","2024 ","2024","55-64 years","55-64",140834,21246717,662.9,659.4,666.3,1.8,0.6%
,"Female","F","2024 ","2024","65-74 years","65-74",267060,18745293,1424.7,1419.3,1430.1,2.8,1.2%
,"Female","F","2024 ","2024","75-84 years","75-84",398335,10722882,3714.8,3703.3,3726.3,5.9,1.8%
,"Female","F","2024 ","2024","85+ years","85+",535968,4021130,13328.8,13293.1,13364.5,18.2,2.4%
,"Female","F","2024 ","2024","Not Stated","NS",19,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0.0%
"Total","Female","F","2024 ","2024",,,1473226,171773106,857.7,856.3,859.0,0.7,6.7%
"Total","Female","F",,,,,10509431,1176300483,893.4,892.9,894.0,0.3,47.8%
,"Male","M","2018","2018","< 1 year","1",12068,1968505,613.1,602.1,624.0,5.6,0.1%
,"Male","M","2018","2018","1-4 years","1-4",2243,8163697,27.5,26.3,28.6,0.6,0.0%
,"Male","M","2018","2018","5-14 years","5-14",3081,20974830,14.7,14.2,15.2,0.3,0.0%
,"Male","M","2018","2018","15-24 years","15-24",22008,21976455,100.1,98.8,101.5,0.7,0.1%
,"Male","M","2018","2018","25-34 years","25-34",40864,23210709,176.1,174.3,177.8,0.9,0.2%
,"Male","M","2018","2018","35-44 years","35-44",51376,20587600,249.5,247.4,251.7,1.1,0.2%
,"Male","M","2018","2018","45-54 years","45-54",101030,20541202,491.8,488.8,494.9,1.5,0.5%
,"Male","M","2018","2018","55-64 years","55-64",228273,20398863,1119.0,1114.5,1123.6,2.3,1.0%
,"Male","M","2018","2018","65-74 years","65-74",312911,14246085,2196.5,2188.8,2204.2,3.9,1.4%
,"Male","M","2018","2018","75-84 years","75-84",347188,6735040,5155.0,5137.8,5172.1,8.7,1.6%
,"Male","M","2018","2018","85+ years","85+",337318,2325693,14504.0,14455.0,14552.9,25.0,1.5%
,"Male","M","2018","2018","Not Stated","NS",109,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0.0%
"Total","Male","M","2018","2018",,,1458469,161128679,905.2,903.7,906.6,0.7,6.6%
,"Male","M","2019","2019","< 1 year","1",11674,1935117,603.3,592.3,614.2,5.6,0.1%
,"Male","M","2019","2019","1-4 years","1-4",2041,8074090,25.3,24.2,26.4,0.6,0.0%
,"Male","M","2019","2019","5-14 years","5-14",3186,20941023,15.2,14.7,15.7,0.3,0.0%
,"Male","M","2019","2019","15-24 years","15-24",21748,21810359,99.7,98.4,101.0,0.7,0.1%
,"Male","M","2019","2019","25-34 years","25-34",41351,23359180,177.0,175.3,178.7,0.9,0.2%
,"Male","M","2019","2019","35-44 years","35-44",53436,20792080,257.0,254.8,259.2,1.1,0.2%
,"Male","M","2019","2019","45-54 years","45-54",98847,20171966,490.0,487.0,493.1,1.6,0.4%
,"Male","M","2019","2019","55-64 years","55-64",227925,20499219,1111.9,1107.3,1116.4,2.3,1.0%
,"Male","M","2019","2019","65-74 years","65-74",320247,14699579,2178.6,2171.1,2186.2,3.8,1.5%
,"Male","M","2019","2019","75-84 years","75-84",355100,6998223,5074.1,5057.5,5090.8,8.5,1.6%
,"Male","M","2019","2019","85+ years","85+",338165,2376488,14229.6,14181.7,14277.6,24.5,1.5%
,"Male","M","2019","2019","Not Stated","NS",103,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0.0%
"Total","Male","M","2019","2019",,,1473823,161657324,911.7,910.2,913.2,0.8,6.7%
,"Male","M","2020","2020","< 1 year","1",10859,1908141,569.1,558.4,579.8,5.5,0.0%
,"Male","M","2020","2020","1-4 years","1-4",2026,7953016,25.5,24.4,26.6,0.6,0.0%
,"Male","M","2020","2020","5-14 years","5-14",3362,20941721,16.1,15.5,16.6,0.3,0.0%
,"Male","M","2020","2020","15-24 years","15-24",26484,21727443,121.9,120.4,123.4,0.7,0.1%
,"Male","M","2020","2020","25-34 years","25-34",51832,23444379,221.1,219.2,223.0,1.0,0.2%
,"Male","M","2020","2020","35-44 years","35-44",68494,21045868,325.5,323.0,327.9,1.2,0.3%
,"Male","M","2020","2020","45-54 years","45-54",119844,19924692,601.5,598.1,604.9,1.7,0.5%
,"Male","M","2020","2020","55-64 years","55-64",271127,20489434,1323.3,1318.3,1328.2,2.5,1.2%
,"Male","M","2020","2020","65-74 years","65-74",391999,15183540,2581.7,2573.7,2589.8,4.1,1.8%
,"Male","M","2020","2020","75-84 years","75-84",428858,7223275,5937.2,5919.4,5954.9,9.1,2.0%
,"Male","M","2020","2020","85+ years","85+",394920,2414693,16354.9,16303.9,16405.9,26.0,1.8%
,"Male","M","2020","2020","Not Stated","NS",79,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0.0%
"Total","Male","M","2020","2020",,,1769884,162256202,1090.8,1089.2,1092.4,0.8,8.1%
,"Male","M","2021","2021","< 1 year","1",10909,1821502,598.9,587.7,610.1,5.7,0.0%
,"Male","M","2021","2021","1-4 years","1-4",2105,7802850,27.0,25.8,28.1,0.6,0.0%
,"Male","M","2021","2021","5-14 years","5-14",3494,21364381,16.4,15.8,16.9,0.3,0.0%
,"Male","M","2021","2021","15-24 years","15-24",27911,21996214,126.9,125.4,128.4,0.8,0.1%
,"Male","M","2021","2021","25-34 years","25-34",57910,23053362,251.2,249.2,253.2,1.0,0.3%
,"Male","M","2021","2021","35-44 years","35-44",81589,21857613,373.3,370.7,375.8,1.3,0.4%
,"Male","M","2021","2021","45-54 years","45-54",135774,20311959,668.4,664.9,672.0,1.8,0.6%
,"Male","M","2021","2021","55-64 years","55-64",292961,20963318,1397.5,1392.4,1402.6,2.6,1.3%
,"Male","M","2021","2021","65-74 years","65-74",418941,15869086,2640.0,2632.0,2648.0,4.1,1.9%
,"Male","M","2021","2021","75-84 years","75-84",432389,7168514,6031.8,6013.8,6049.8,9.2,2.0%
,"Male","M","2021","2021","85+ years","85+",374055,2175943,17190.5,17135.4,17245.6,28.1,1.7%
,"Male","M","2021","2021","Not Stated","NS",70,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0.0%
"Total","Male","M","2021","2021",,,1838108,164384742,1118.2,1116.6,1119.8,0.8,8.4%
,"Male","M","2022","2022","< 1 year","1",11371,1882867,603.9,592.8,615.0,5.7,0.1%
,"Male","M","2022","2022","1-4 years","1-4",2353,7592228,31.0,29.7,32.2,0.6,0.0%
,"Male","M","2022","2022","5-14 years","5-14",3587,20933799,17.1,16.6,17.7,0.3,0.0%
,"Male","M","2022","2022","15-24 years","15-24",25637,22684031,113.0,111.6,114.4,0.7,0.1%
,"Male","M","2022","2022","25-34 years","25-34",52511,23189562,226.4,224.5,228.4,1.0,0.2%
,"Male","M","2022","2022","35-44 years","35-44",73486,22120189,332.2,329.8,334.6,1.2,0.3%
,"Male","M","2022","2022","45-54 years","45-54",114847,20279630,566.3,563.0,569.6,1.7,0.5%
,"Male","M","2022","2022","55-64 years","55-64",254278,20671903,1230.1,1225.3,1234.8,2.4,1.2%
,"Male","M","2022","2022","65-74 years","65-74",384985,15910672,2419.7,2412.0,2427.3,3.9,1.8%
,"Male","M","2022","2022","75-84 years","75-84",427507,7734845,5527.0,5510.5,5543.6,8.5,1.9%
,"Male","M","2022","2022","85+ years","85+",368601,2283827,16139.6,16087.5,16191.7,26.6,1.7%
,"Male","M","2022","2022","Not Stated","NS",87,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0.0%
"Total","Male","M","2022","2022",,,1719250,165283553,1040.2,1038.6,1041.7,0.8,7.8%
,"Male","M","2023","2023","< 1 year","1",11107,1864508,595.7,584.6,606.8,5.7,0.1%
,"Male","M","2023","2023","1-4 years","1-4",2329,7594891,30.7,29.4,31.9,0.6,0.0%
,"Male","M","2023","2023","5-14 years","5-14",3518,20972638,16.8,16.2,17.3,0.3,0.0%
,"Male","M","2023","2023","15-24 years","15-24",24668,22423446,110.0,108.6,111.4,0.7,0.1%
,"Male","M","2023","2023","25-34 years","25-34",47833,23059187,207.4,205.6,209.3,0.9,0.2%
,"Male","M","2023","2023","35-44 years","35-44",69814,22362236,312.2,309.9,314.5,1.2,0.3%
,"Male","M","2023","2023","45-54 years","45-54",104880,20187109,519.5,516.4,522.7,1.6,0.5%
,"Male","M","2023","2023","55-64 years","55-64",229644,20503845,1120.0,1115.4,1124.6,2.3,1.0%
,"Male","M","2023","2023","65-74 years","65-74",361317,16335080,2211.9,2204.7,2219.1,3.7,1.6%
,"Male","M","2023","2023","75-84 years","75-84",411716,8162499,5044.0,5028.6,5059.4,7.9,1.9%
,"Male","M","2023","2023","85+ years","85+",350204,2283961,15333.2,15282.4,15384.0,25.9,1.6%
,"Male","M","2023","2023","Not Stated","NS",55,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0.0%
"Total","Male","M","2023","2023",,,1617085,165749400,975.6,974.1,977.1,0.8,7.4%
,"Male","M","2024 ","2024","< 1 year","1",10901,1846708,590.3,579.2,601.4,5.7,0.0%
,"Male","M","2024 ","2024","1-4 years","1-4",2186,7654335,28.6,27.4,29.8,0.6,0.0%
,"Male","M","2024 ","2024","5-14 years","5-14",3401,21020790,16.2,15.6,16.7,0.3,0.0%
,"Male","M","2024 ","2024","15-24 years","15-24",21928,22913584,95.7,94.4,97.0,0.6,0.1%
,"Male","M","2024 ","2024","25-34 years","25-34",40651,23518451,172.8,171.2,174.5,0.9,0.2%
,"Male","M","2024 ","2024","35-44 years","35-44",64093,22955948,279.2,277.0,281.4,1.1,0.3%
,"Male","M","2024 ","2024","45-54 years","45-54",98643,20322445,485.4,482.4,488.4,1.5,0.4%
,"Male","M","2024 ","2024","55-64 years","55-64",217362,20415008,1064.7,1060.2,1069.2,2.3,1.0%
,"Male","M","2024 ","2024","65-74 years","65-74",361356,16699669,2163.9,2156.8,2170.9,3.6,1.6%
,"Male","M","2024 ","2024","75-84 years","75-84",424609,8576931,4950.6,4935.7,4965.5,7.6,1.9%
,"Male","M","2024 ","2024","85+ years","85+",354272,2414013,14675.6,14627.3,14724.0,24.7,1.6%
