"Notes","Year","Year Code","Ten-Year Age Groups","Ten-Year Age Groups Code","Sex","Sex Code",Deaths,Population,Crude Rate,Crude Rate Lower 95% Confidence Interval,Crude Rate Upper 95% Confidence Interval,Crude Rate Standard Error,% of Total Deaths
,"1999","1999","< 1 year","1","Female","F",18,1852123,Unreliable,0.6,1.5,0.2,0.0%
,"1999","1999","< 1 year","1","Male","M",12,1943639,Unreliable,0.3,1.1,0.2,0.0%
,"1999","1999","1-4 years","1-4","Female","F",62,7493614,0.8,0.6,1.1,0.1,0.0%
,"1999","1999","1-4 years","1-4","Male","M",75,7846168,1.0,0.8,1.2,0.1,0.0%
,"1999","1999","5-14 years","5-14","Female","F",145,19908282,0.7,0.6,0.8,0.1,0.0%
,"1999","1999","5-14 years","5-14","Male","M",206,20911542,1.0,0.9,1.1,0.1,0.0%
,"1999","1999","15-24 years","15-24","Female","F",283,18860184,1.5,1.3,1.7,0.1,0.0%
,"1999","1999","15-24 years","15-24","Male","M",437,19815847,2.2,2.0,2.4,0.1,0.0%
,"1999","1999","25-34 years","25-34","Female","F",403,19945090,2.0,1.8,2.2,0.1,0.0%
,"1999","1999","25-34 years","25-34","Male","M",557,20233316,2.8,2.5,3.0,0.1,0.0%
,"1999","1999","35-44 years","35-44","Female","F",769,22669604,3.4,3.2,3.6,0.1,0.1%
,"1999","1999","35-44 years","35-44","Male","M",1144,22407073,5.1,4.8,5.4,0.2,0.1%
,"1999","1999","45-54 years","45-54","Female","F",1582,18632305,8.5,8.1,8.9,0.2,0.1%
,"1999","1999","45-54 years","45-54","Male","M",2368,17945514,13.2,12.7,13.7,0.3,0.2%
,"1999","1999","55-64 years","55-64","Female","F",3128,12378763,25.3,24.4,26.2,0.5,0.3%
,"1999","1999","55-64 years","55-64","Male","M",4426,11399263,38.8,37.7,40.0,0.6,0.4%
,"1999","1999","65-74 years","65-74","Female","F",6265,10125424,61.9,60.3,63.4,0.8,0.5%
,"1999","1999","65-74 years","65-74","Male","M",8067,8293485,97.3,95.1,99.4,1.1,0.7%
,"1999","1999","75-84 years","75-84","Female","F",8989,7411198,121.3,118.8,123.8,1.3,0.7%
,"1999","1999","75-84 years","75-84","Male","M",9100,4813716,189.0,185.2,192.9,2.0,0.7%
,"1999","1999","85+ years","85+","Female","F",4953,2960708,167.3,162.6,172.0,2.4,0.4%
,"1999","1999","85+ years","85+","Male","M",3329,1193310,279.0,269.5,288.4,4.8,0.3%
,"1999","1999","Not Stated","NS","Female","F",0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0.0%
,"1999","1999","Not Stated","NS","Male","M",0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0.0%
,"2000","2000","< 1 year","1","Female","F",18,1856631,Unreliable,0.6,1.5,0.2,0.0%
,"2000","2000","< 1 year","1","Male","M",21,1949017,1.1,0.7,1.6,0.2,0.0%
,"2000","2000","1-4 years","1-4","Female","F",70,7508434,0.9,0.7,1.2,0.1,0.0%
,"2000","2000","1-4 years","1-4","Male","M",76,7861716,1.0,0.8,1.2,0.1,0.0%
,"2000","2000","5-14 years","5-14","Female","F",149,20034103,0.7,0.6,0.9,0.1,0.0%
,"2000","2000","5-14 years","5-14","Male","M",223,21043474,1.1,0.9,1.2,0.1,0.0%
,"2000","2000","15-24 years","15-24","Female","F",263,19105073,1.4,1.2,1.5,0.1,0.0%
,"2000","2000","15-24 years","15-24","Male","M",455,20078818,2.3,2.1,2.5,0.1,0.0%
,"2000","2000","25-34 years","25-34","Female","F",379,19771195,1.9,1.7,2.1,0.1,0.0%
,"2000","2000","25-34 years","25-34","Male","M",539,20120529,2.7,2.5,2.9,0.1,0.0%
,"2000","2000","35-44 years","35-44","Female","F",778,22700729,3.4,3.2,3.7,0.1,0.1%
,"2000","2000","35-44 years","35-44","Male","M",1075,22447798,4.8,4.5,5.1,0.1,0.1%
,"2000","2000","45-54 years","45-54","Female","F",1626,19180722,8.5,8.1,8.9,0.2,0.1%
,"2000","2000","45-54 years","45-54","Male","M",2399,18497230,13.0,12.5,13.5,0.3,0.2%
,"2000","2000","55-64 years","55-64","Female","F",3079,12629328,24.4,23.5,25.2,0.4,0.2%
,"2000","2000","55-64 years","55-64","Male","M",4205,11645356,36.1,35.0,37.2,0.6,0.3%
,"2000","2000","65-74 years","65-74","Female","F",6003,10087712,59.5,58.0,61.0,0.8,0.5%
,"2000","2000","65-74 years","65-74","Male","M",8038,8303274,96.8,94.7,98.9,1.1,0.6%
,"2000","2000","75-84 years","75-84","Female","F",9049,7481827,120.9,118.5,123.4,1.3,0.7%
,"2000","2000","75-84 years","75-84","Male","M",9399,4879353,192.6,188.7,196.5,2.0,0.8%
,"2000","2000","85+ years","85+","Female","F",5216,3012589,173.1,168.4,177.8,2.4,0.4%
,"2000","2000","85+ years","85+","Male","M",3458,1226998,281.8,272.4,291.2,4.8,0.3%
,"2000","2000","Not Stated","NS","Female","F",0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0.0%
