"Notes","Sex","Sex Code","Year","Year Code","Ten-Year Age Groups","Ten-Year Age Groups Code",Deaths,Population,Crude Rate,Crude Rate Lower 95% Confidence Interval,Crude Rate Upper 95% Confidence Interval,Crude Rate Standard Error,% of Total Deaths
,"Female","F","2018","2018","< 1 year","1",Suppressed,1879703,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed
,"Female","F","2018","2018","1-4 years","1-4",49,7798370,0.6,0.5,0.8,0.1,0.0%
,"Female","F","2018","2018","5-14 years","5-14",96,20100339,0.5,0.4,0.6,0.0,0.0%
,"Female","F","2018","2018","15-24 years","15-24",142,20994345,0.7,0.6,0.8,0.1,0.0%
,"Female","F","2018","2018","25-34 years","25-34",236,22487065,1.0,0.9,1.2,0.1,0.1%
,"Female","F","2018","2018","35-44 years","35-44",403,20690288,1.9,1.8,2.1,0.1,0.1%
,"Female","F","2018","2018","45-54 years","45-54",994,21090497,4.7,4.4,5.0,0.1,0.2%
,"Female","F","2018","2018","55-64 years","55-64",2939,21873773,13.4,13.0,13.9,0.2,0.7%
,"Female","F","2018","2018","65-74 years","65-74",5674,16246231,34.9,34.0,35.8,0.5,1.4%
,"Female","F","2018","2018","75-84 years","75-84",7616,8659334,88.0,86.0,89.9,1.0,1.9%
,"Female","F","2018","2018","85+ years","85+",6397,4218810,151.6,147.9,155.3,1.9,1.6%
,"Female","F","2018","2018","Not Stated","NS",Suppressed,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Suppressed
,"Female","F","2019","2019","< 1 year","1",Suppressed,1847935,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed
,"Female","F","2019","2019","1-4 years","1-4",51,7719541,0.7,0.5,0.9,0.1,0.0%
,"Female","F","2019","2019","5-14 years","5-14",96,20053140,0.5,0.4,0.6,0.0,0.0%
,"Female","F","2019","2019","15-24 years","15-24",167,20877151,0.8,0.7,0.9,0.1,0.0%
,"Female","F","2019","2019","25-34 years","25-34",200,22581141,0.9,0.8,1.0,0.1,0.0%
,"Female","F","2019","2019","35-44 years","35-44",403,20867064,1.9,1.7,2.1,0.1,0.1%
,"Female","F","2019","2019","45-54 years","45-54",969,20702936,4.7,4.4,5.0,0.2,0.2%
,"Female","F","2019","2019","55-64 years","55-64",2776,21949318,12.6,12.2,13.1,0.2,0.7%
,"Female","F","2019","2019","65-74 years","65-74",5657,16783854,33.7,32.8,34.6,0.4,1.4%
,"Female","F","2019","2019","75-84 years","75-84",7645,8971649,85.2,83.3,87.1,1.0,1.9%
,"Female","F","2019","2019","85+ years","85+",6623,4228470,156.6,152.9,160.4,1.9,1.7%
,"Female","F","2019","2019","Not Stated","NS",0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0.0%
,"Female","F","2020","2020","< 1 year","1",14,1826869,0.8,0.4,1.3,0.2,0.0%
,"Female","F","2020","2020","1-4 years","1-4",44,7613266,0.6,0.4,0.8,0.1,0.0%
,"Female","F","2020","2020","5-14 years","5-14",85,20050413,0.4,0.3,0.5,0.0,0.0%
,"Female","F","2020","2020","15-24 years","15-24",124,20828241,0.6,0.5,0.7,0.1,0.0%
