"Notes","Year","Year Code","Ten-Year Age Groups","Ten-Year Age Groups Code","Sex","Sex Code",Deaths,Population,Crude Rate,Crude Rate Lower 95% Confidence Interval,Crude Rate Upper 95% Confidence Interval,Crude Rate Standard Error,% of Total Deaths
,"1999","1999","< 1 year","1","Female","F",Suppressed,1852123,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed
,"1999","1999","< 1 year","1","Male","M",Suppressed,1943639,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed
,"1999","1999","1-4 years","1-4","Female","F",11,7493614,Unreliable,0.1,0.3,0.0,0.0%
,"1999","1999","1-4 years","1-4","Male","M",19,7846168,Unreliable,0.1,0.4,0.1,0.0%
,"1999","1999","5-14 years","5-14","Female","F",23,19908282,0.1,0.1,0.2,0.0,0.0%
,"1999","1999","5-14 years","5-14","Male","M",44,20911542,0.2,0.2,0.3,0.0,0.0%
,"1999","1999","15-24 years","15-24","Female","F",59,18860184,0.3,0.2,0.4,0.0,0.0%
,"1999","1999","15-24 years","15-24","Male","M",82,19815847,0.4,0.3,0.5,0.0,0.1%
,"1999","1999","25-34 years","25-34","Female","F",70,19945090,0.4,0.3,0.4,0.0,0.1%
,"1999","1999","25-34 years","25-34","Male","M",83,20233316,0.4,0.3,0.5,0.0,0.1%
,"1999","1999","35-44 years","35-44","Female","F",116,22669604,0.5,0.4,0.6,0.0,0.1%
,"1999","1999","35-44 years","35-44","Male","M",161,22407073,0.7,0.6,0.8,0.1,0.1%
,"1999","1999","45-54 years","45-54","Female","F",207,18632305,1.1,1.0,1.3,0.1,0.2%
,"1999","1999","45-54 years","45-54","Male","M",329,17945514,1.8,1.6,2.0,0.1,0.3%
,"1999","1999","55-64 years","55-64","Female","F",404,12378763,3.3,2.9,3.6,0.2,0.3%
,"1999","1999","55-64 years","55-64","Male","M",553,11399263,4.9,4.4,5.3,0.2,0.4%
,"1999","1999","65-74 years","65-74","Female","F",628,10125424,6.2,5.7,6.7,0.2,0.5%
,"1999","1999","65-74 years","65-74","Male","M",925,8293485,11.2,10.4,11.9,0.4,0.7%
,"1999","1999","75-84 years","75-84","Female","F",662,7411198,8.9,8.3,9.6,0.3,0.5%
,"1999","1999","75-84 years","75-84","Male","M",760,4813716,15.8,14.7,16.9,0.6,0.6%
,"1999","1999","85+ years","85+","Female","F",230,2960708,7.8,6.8,8.8,0.5,0.2%
,"1999","1999","85+ years","85+","Male","M",206,1193310,17.3,14.9,19.6,1.2,0.2%
,"1999","1999","Not Stated","NS","Female","F",0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0.0%
,"1999","1999","Not Stated","NS","Male","M",0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0.0%
,"2000","2000","< 1 year","1","Female","F",Suppressed,1856631,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed
,"2000","2000","< 1 year","1","Male","M",Suppressed,1949017,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed
,"2000","2000","1-4 years","1-4","Female","F",15,7508434,Unreliable,0.1,0.3,0.1,0.0%
,"2000","2000","1-4 years","1-4","Male","M",12,7861716,Unreliable,0.1,0.3,0.0,0.0%
,"2000","2000","5-14 years","5-14","Female","F",35,20034103,0.2,0.1,0.2,0.0,0.0%
,"2000","2000","5-14 years","5-14","Male","M",29,21043474,0.1,0.1,0.2,0.0,0.0%
,"2000","2000","15-24 years","15-24","Female","F",56,19105073,0.3,0.2,0.4,0.0,0.0%
,"2000","2000","15-24 years","15-24","Male","M",72,20078818,0.4,0.3,0.5,0.0,0.1%
