"Notes","Sex","Sex Code","Year","Year Code","Ten-Year Age Groups","Ten-Year Age Groups Code",Deaths,Population,Crude Rate,Crude Rate Lower 95% Confidence Interval,Crude Rate Upper 95% Confidence Interval,Crude Rate Standard Error,% of Total Deaths
,"Female","F","2018","2018","< 1 year","1",0,1879703,0.0,0.0,0.0,0.0,0.0%
,"Female","F","2018","2018","1-4 years","1-4",10,7798370,0.1,0.1,0.2,0.0,0.0%
,"Female","F","2018","2018","5-14 years","5-14",25,20100339,0.1,0.1,0.2,0.0,0.1%
,"Female","F","2018","2018","15-24 years","15-24",42,20994345,0.2,0.1,0.3,0.0,0.1%
,"Female","F","2018","2018","25-34 years","25-34",46,22487065,0.2,0.1,0.3,0.0,0.1%
,"Female","F","2018","2018","35-44 years","35-44",75,20690288,0.4,0.3,0.5,0.0,0.2%
,"Female","F","2018","2018","45-54 years","45-54",174,21090497,0.8,0.7,0.9,0.1,0.4%
,"Female","F","2018","2018","55-64 years","55-64",450,21873773,2.1,1.9,2.2,0.1,1.1%
,"Female","F","2018","2018","65-74 years","65-74",711,16246231,4.4,4.1,4.7,0.2,1.8%
,"Female","F","2018","2018","75-84 years","75-84",606,8659334,7.0,6.4,7.6,0.3,1.5%
,"Female","F","2018","2018","85+ years","85+",297,4218810,7.0,6.2,7.8,0.4,0.7%
,"Female","F","2018","2018","Not Stated","NS",0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0.0%
,"Female","F","2019","2019","< 1 year","1",0,1847935,0.0,0.0,0.0,0.0,0.0%
,"Female","F","2019","2019","1-4 years","1-4",Suppressed,7719541,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed
,"Female","F","2019","2019","5-14 years","5-14",21,20053140,0.1,0.1,0.2,0.0,0.1%
,"Female","F","2019","2019","15-24 years","15-24",26,20877151,0.1,0.1,0.2,0.0,0.1%
,"Female","F","2019","2019","25-34 years","25-34",48,22581141,0.2,0.2,0.3,0.0,0.1%
,"Female","F","2019","2019","35-44 years","35-44",85,20867064,0.4,0.3,0.5,0.0,0.2%
,"Female","F","2019","2019","45-54 years","45-54",196,20702936,0.9,0.8,1.1,0.1,0.5%
,"Female","F","2019","2019","55-64 years","55-64",406,21949318,1.8,1.7,2.0,0.1,1.0%
,"Female","F","2019","2019","65-74 years","65-74",697,16783854,4.2,3.8,4.5,0.2,1.7%
,"Female","F","2019","2019","75-84 years","75-84",611,8971649,6.8,6.3,7.4,0.3,1.5%
,"Female","F","2019","2019","85+ years","85+",289,4228470,6.8,6.0,7.6,0.4,0.7%
,"Female","F","2019","2019","Not Stated","NS",0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0.0%
,"Female","F","2020","2020","< 1 year","1",Suppressed,1826869,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed
,"Female","F","2020","2020","1-4 years","1-4",Suppressed,7613266,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed
,"Female","F","2020","2020","5-14 years","5-14",11,20050413,0.1,0.0,0.1,0.0,0.0%
,"Female","F","2020","2020","15-24 years","15-24",25,20828241,0.1,0.1,0.2,0.0,0.1%
,"Female","F","2020","2020","25-34 years","25-34",36,22625267,0.2,0.1,0.2,0.0,0.1%
,"Female","F","2020","2020","35-44 years","35-44",59,21090324,0.3,0.2,0.4,0.0,0.1%
,"Female","F","2020","2020","45-54 years","45-54",154,20441441,0.8,0.6,0.9,0.1,0.4%
,"Female","F","2020","2020","55-64 years","55-64",405,21914243,1.8,1.7,2.0,0.1,1.0%
,"Female","F","2020","2020","65-74 years","65-74",620,17365858,3.6,3.3,3.9,0.1,1.5%
,"Female","F","2020","2020","75-84 years","75-84",594,9228272,6.4,5.9,7.0,0.3,1.5%
,"Female","F","2020","2020","85+ years","85+",257,4243727,6.1,5.3,6.8,0.4,0.6%
,"Female","F","2020","2020","Not Stated","NS",0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0.0%
,"Female","F","2021","2021","< 1 year","1",0,1742991,0.0,0.0,0.0,0.0,0.0%
,"Female","F","2021","2021","1-4 years","1-4",Suppressed,7459995,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed
,"Female","F","2021","2021","5-14 years","5-14",17,20374951,0.1,0.0,0.1,0.0,0.0%
,"Female","F","2021","2021","15-24 years","15-24",28,21092449,0.1,0.1,0.2,0.0,0.1%
,"Female","F","2021","2021","25-34 years","25-34",45,22441743,0.2,0.1,0.3,0.0,0.1%
,"Female","F","2021","2021","35-44 years","35-44",76,21546241,0.4,0.3,0.4,0.0,0.2%
,"Female","F","2021","2021","45-54 years","45-54",160,20376477,0.8,0.7,0.9,0.1,0.4%
,"Female","F","2021","2021","55-64 years","55-64",415,21839746,1.9,1.7,2.1,0.1,1.0%
,"Female","F","2021","2021","65-74 years","65-74",680,17797036,3.8,3.5,4.1,0.1,1.7%
,"Female","F","2021","2021","75-84 years","75-84",586,9037561,6.5,6.0,7.0,0.3,1.5%
,"Female","F","2021","2021","85+ years","85+",270,3799813,7.1,6.3,8.0,0.4,0.7%
,"Female","F","2021","2021","Not Stated","NS",0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0.0%
,"Female","F","2022","2022","< 1 year","1",Suppressed,1800246,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed
,"Female","F","2022","2022","1-4 years","1-4",Suppressed,7263012,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed
,"Female","F","2022","2022","5-14 years","5-14",16,19965235,0.1,0.0,0.1,0.0,0.0%
,"Female","F","2022","2022","15-24 years","15-24",37,21657540,0.2,0.1,0.2,0.0,0.1%
,"Female","F","2022","2022","25-34 years","25-34",42,22311738,0.2,0.1,0.3,0.0,0.1%
,"Female","F","2022","2022","35-44 years","35-44",66,21575176,0.3,0.2,0.4,0.0,0.2%
