"Notes","Sex","Sex Code","Year","Year Code","Ten-Year Age Groups","Ten-Year Age Groups Code",Deaths,Population,Crude Rate,Crude Rate Lower 95% Confidence Interval,Crude Rate Upper 95% Confidence Interval,Crude Rate Standard Error,% of Total Deaths
,"Female","F","2018","2018","< 1 year","1",15,1879703,0.8,0.4,1.3,0.2,0.0%
,"Female","F","2018","2018","1-4 years","1-4",94,7798370,1.2,1.0,1.5,0.1,0.0%
,"Female","F","2018","2018","5-14 years","5-14",299,20100339,1.5,1.3,1.7,0.1,0.0%
,"Female","F","2018","2018","15-24 years","15-24",374,20994345,1.8,1.6,2.0,0.1,0.0%
,"Female","F","2018","2018","25-34 years","25-34",1710,22487065,7.6,7.2,8.0,0.2,0.0%
,"Female","F","2018","2018","35-44 years","35-44",5681,20690288,27.5,26.7,28.2,0.4,0.1%
,"Female","F","2018","2018","45-54 years","45-54",18394,21090497,87.2,86.0,88.5,0.6,0.5%
,"Female","F","2018","2018","55-64 years","55-64",49119,21873773,224.6,222.6,226.5,1.0,1.3%
,"Female","F","2018","2018","65-74 years","65-74",70065,16246231,431.3,428.1,434.5,1.6,1.8%
,"Female","F","2018","2018","75-84 years","75-84",66431,8659334,767.2,761.3,773.0,3.0,1.7%
,"Female","F","2018","2018","85+ years","85+",46981,4218810,1113.6,1103.5,1123.7,5.1,1.2%
,"Female","F","2018","2018","Not Stated","NS",Suppressed,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Suppressed
,"Female","F","2019","2019","< 1 year","1",16,1847935,0.9,0.5,1.4,0.2,0.0%
,"Female","F","2019","2019","1-4 years","1-4",84,7719541,1.1,0.9,1.3,0.1,0.0%
,"Female","F","2019","2019","5-14 years","5-14",265,20053140,1.3,1.2,1.5,0.1,0.0%
,"Female","F","2019","2019","15-24 years","15-24",394,20877151,1.9,1.7,2.1,0.1,0.0%
,"Female","F","2019","2019","25-34 years","25-34",1633,22581141,7.2,6.9,7.6,0.2,0.0%
,"Female","F","2019","2019","35-44 years","35-44",5771,20867064,27.7,26.9,28.4,0.4,0.1%
,"Female","F","2019","2019","45-54 years","45-54",17560,20702936,84.8,83.6,86.1,0.6,0.5%
,"Female","F","2019","2019","55-64 years","55-64",48604,21949318,221.4,219.5,223.4,1.0,1.3%
,"Female","F","2019","2019","65-74 years","65-74",70783,16783854,421.7,418.6,424.8,1.6,1.8%
,"Female","F","2019","2019","75-84 years","75-84",66746,8971649,744.0,738.3,749.6,2.9,1.7%
,"Female","F","2019","2019","85+ years","85+",47272,4228470,1117.9,1107.9,1128.0,5.1,1.2%
,"Female","F","2019","2019","Not Stated","NS",Suppressed,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Suppressed
