"Notes","Year","Year Code","Ten-Year Age Groups","Ten-Year Age Groups Code","Sex","Sex Code",Deaths,Population,Crude Rate,Crude Rate Lower 95% Confidence Interval,Crude Rate Upper 95% Confidence Interval,Crude Rate Standard Error,% of Total Deaths
,"1999","1999","< 1 year","1","Female","F",0,1852123,Unreliable,0.0,0.0,0.0,0.0%
,"1999","1999","< 1 year","1","Male","M",Suppressed,1943639,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed
,"1999","1999","1-4 years","1-4","Female","F",Suppressed,7493614,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed
,"1999","1999","1-4 years","1-4","Male","M",Suppressed,7846168,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed
,"1999","1999","5-14 years","5-14","Female","F",16,19908282,Unreliable,0.0,0.1,0.0,0.0%
,"1999","1999","5-14 years","5-14","Male","M",Suppressed,20911542,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed
,"1999","1999","15-24 years","15-24","Female","F",15,18860184,Unreliable,0.0,0.1,0.0,0.0%
,"1999","1999","15-24 years","15-24","Male","M",21,19815847,0.1,0.1,0.2,0.0,0.0%
,"1999","1999","25-34 years","25-34","Female","F",51,19945090,0.3,0.2,0.3,0.0,0.0%
,"1999","1999","25-34 years","25-34","Male","M",36,20233316,0.2,0.1,0.2,0.0,0.0%
,"1999","1999","35-44 years","35-44","Female","F",250,22669604,1.1,1.0,1.2,0.1,0.1%
,"1999","1999","35-44 years","35-44","Male","M",161,22407073,0.7,0.6,0.8,0.1,0.0%
,"1999","1999","45-54 years","45-54","Female","F",584,18632305,3.1,2.9,3.4,0.1,0.2%
,"1999","1999","45-54 years","45-54","Male","M",524,17945514,2.9,2.7,3.2,0.1,0.2%
,"1999","1999","55-64 years","55-64","Female","F",958,12378763,7.7,7.2,8.2,0.3,0.3%
,"1999","1999","55-64 years","55-64","Male","M",1169,11399263,10.3,9.7,10.8,0.3,0.4%
