"Notes","Sex","Sex Code","Year","Year Code","Ten-Year Age Groups","Ten-Year Age Groups Code",Deaths,Population,Crude Rate,Crude Rate Lower 95% Confidence Interval,Crude Rate Upper 95% Confidence Interval,Crude Rate Standard Error,% of Total Deaths
,"Female","F","2018","2018","< 1 year","1",Suppressed,1879703,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed
,"Female","F","2018","2018","1-4 years","1-4",Suppressed,7798370,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed
,"Female","F","2018","2018","5-14 years","5-14",Suppressed,20100339,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed
,"Female","F","2018","2018","15-24 years","15-24",14,20994345,0.1,0.0,0.1,0.0,0.0%
,"Female","F","2018","2018","25-34 years","25-34",82,22487065,0.4,0.3,0.5,0.0,0.1%
,"Female","F","2018","2018","35-44 years","35-44",300,20690288,1.4,1.3,1.6,0.1,0.2%
,"Female","F","2018","2018","45-54 years","45-54",929,21090497,4.4,4.1,4.7,0.1,0.6%
,"Female","F","2018","2018","55-64 years","55-64",2327,21873773,10.6,10.2,11.1,0.2,1.5%
,"Female","F","2018","2018","65-74 years","65-74",2924,16246231,18.0,17.3,18.7,0.3,1.9%
,"Female","F","2018","2018","75-84 years","75-84",2021,8659334,23.3,22.3,24.4,0.5,1.3%
,"Female","F","2018","2018","85+ years","85+",890,4218810,21.1,19.7,22.5,0.7,0.6%
,"Female","F","2018","2018","Not Stated","NS",0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0.0%
"Total","Female","F","2018","2018",,,9495,166038755,5.7,5.6,5.8,0.1,6.1%
,"Female","F","2019","2019","< 1 year","1",Suppressed,1847935,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed
,"Female","F","2019","2019","1-4 years","1-4",Suppressed,7719541,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed
,"Female","F","2019","2019","5-14 years","5-14",Suppressed,20053140,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed
,"Female","F","2019","2019","15-24 years","15-24",16,20877151,0.1,0.0,0.1,0.0,0.0%
,"Female","F","2019","2019","25-34 years","25-34",96,22581141,0.4,0.3,0.5,0.0,0.1%
,"Female","F","2019","2019","35-44 years","35-44",300,20867064,1.4,1.3,1.6,0.1,0.2%
,"Female","F","2019","2019","45-54 years","45-54",920,20702936,4.4,4.2,4.7,0.1,0.6%
,"Female","F","2019","2019","55-64 years","55-64",2242,21949318,10.2,9.8,10.6,0.2,1.4%
,"Female","F","2019","2019","65-74 years","65-74",2978,16783854,17.7,17.1,18.4,0.3,1.9%
,"Female","F","2019","2019","75-84 years","75-84",2050,8971649,22.8,21.9,23.8,0.5,1.3%
,"Female","F","2019","2019","85+ years","85+",938,4228470,22.2,20.8,23.6,0.7,0.6%
,"Female","F","2019","2019","Not Stated","NS",0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0.0%
"Total","Female","F","2019","2019",,,9551,166582199,5.7,5.6,5.8,0.1,6.1%
,"Female","F","2020","2020","< 1 year","1",Suppressed,1826869,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed
,"Female","F","2020","2020","1-4 years","1-4",Suppressed,7613266,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed
,"Female","F","2020","2020","5-14 years","5-14",Suppressed,20050413,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed
,"Female","F","2020","2020","15-24 years","15-24",21,20828241,0.1,0.1,0.2,0.0,0.0%
,"Female","F","2020","2020","25-34 years","25-34",74,22625267,0.3,0.3,0.4,0.0,0.0%
,"Female","F","2020","2020","35-44 years","35-44",311,21090324,1.5,1.3,1.6,0.1,0.2%
,"Female","F","2020","2020","45-54 years","45-54",911,20441441,4.5,4.2,4.7,0.1,0.6%
,"Female","F","2020","2020","55-64 years","55-64",2309,21914243,10.5,10.1,11.0,0.2,1.5%
,"Female","F","2020","2020","65-74 years","65-74",3057,17365858,17.6,17.0,18.2,0.3,2.0%
,"Female","F","2020","2020","75-84 years","75-84",2082,9228272,22.6,21.6,23.5,0.5,1.3%
,"Female","F","2020","2020","85+ years","85+",761,4243727,17.9,16.7,19.2,0.7,0.5%
,"Female","F","2020","2020","Not Stated","NS",0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0.0%
"Total","Female","F","2020","2020",,,9536,167227921,5.7,5.6,5.8,0.1,6.1%
,"Female","F","2021","2021","< 1 year","1",Suppressed,1742991,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed
,"Female","F","2021","2021","1-4 years","1-4",Suppressed,7459995,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed
,"Female","F","2021","2021","5-14 years","5-14",Suppressed,20374951,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed
,"Female","F","2021","2021","15-24 years","15-24",Suppressed,21092449,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed
,"Female","F","2021","2021","25-34 years","25-34",92,22441743,0.4,0.3,0.5,0.0,0.1%
