"Notes","Year","Year Code","Sex","Sex Code","Ten-Year Age Groups","Ten-Year Age Groups Code",Deaths,Population,Crude Rate,Crude Rate Lower 95% Confidence Interval,Crude Rate Upper 95% Confidence Interval,Crude Rate Standard Error,% of Total Deaths
,"1999","1999","Female","F","< 1 year","1",298,1852123,16.1,14.3,17.9,0.9,0.0%
,"1999","1999","Female","F","1-4 years","1-4",139,7493614,1.9,1.5,2.2,0.2,0.0%
,"1999","1999","Female","F","5-14 years","5-14",187,19908282,0.9,0.8,1.1,0.1,0.0%
,"1999","1999","Female","F","15-24 years","15-24",358,18860184,1.9,1.7,2.1,0.1,0.0%
,"1999","1999","Female","F","25-34 years","25-34",819,19945090,4.1,3.8,4.4,0.1,0.0%
,"1999","1999","Female","F","35-44 years","35-44",2175,22669604,9.6,9.2,10.0,0.2,0.1%
,"1999","1999","Female","F","45-54 years","45-54",4025,18632305,21.6,20.9,22.3,0.3,0.1%
,"1999","1999","Female","F","55-64 years","55-64",6602,12378763,53.3,52.0,54.6,0.7,0.2%
,"1999","1999","Female","F","65-74 years","65-74",13237,10125424,130.7,128.5,133.0,1.1,0.4%
,"1999","1999","Female","F","75-84 years","75-84",22233,7411198,300.0,296.0,303.9,2.0,0.6%
,"1999","1999","Female","F","85+ years","85+",23480,2960708,793.1,782.9,803.2,5.2,0.6%
,"1999","1999","Female","F","Not Stated","NS",Suppressed,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Suppressed
,"1999","1999","Male","M","< 1 year","1",434,1943639,22.3,20.2,24.4,1.1,0.0%
,"1999","1999","Male","M","1-4 years","1-4",177,7846168,2.3,1.9,2.6,0.2,0.0%
,"1999","1999","Male","M","5-14 years","5-14",166,20911542,0.8,0.7,0.9,0.1,0.0%
,"1999","1999","Male","M","15-24 years","15-24",374,19815847,1.9,1.7,2.1,0.1,0.0%
,"1999","1999","Male","M","25-34 years","25-34",939,20233316,4.6,4.3,4.9,0.2,0.0%
,"1999","1999","Male","M","35-44 years","35-44",2960,22407073,13.2,12.7,13.7,0.2,0.1%
,"1999","1999","Male","M","45-54 years","45-54",5323,17945514,29.7,28.9,30.5,0.4,0.1%
,"1999","1999","Male","M","55-64 years","55-64",7768,11399263,68.1,66.6,69.7,0.8,0.2%
,"1999","1999","Male","M","65-74 years","65-74",14339,8293485,172.9,170.1,175.7,1.4,0.4%
,"1999","1999","Male","M","75-84 years","75-84",19603,4813716,407.2,401.5,412.9,2.9,0.5%
,"1999","1999","Male","M","85+ years","85+",11270,1193310,944.4,927.0,961.9,8.9,0.3%
,"1999","1999","Male","M","Not Stated","NS",Suppressed,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Suppressed
,"2000","2000","Female","F","< 1 year","1",311,1856631,16.8,14.9,18.6,0.9,0.0%
,"2000","2000","Female","F","1-4 years","1-4",139,7508434,1.9,1.5,2.2,0.2,0.0%
,"2000","2000","Female","F","5-14 years","5-14",125,20034103,0.6,0.5,0.7,0.1,0.0%
,"2000","2000","Female","F","15-24 years","15-24",325,19105073,1.7,1.5,1.9,0.1,0.0%
,"2000","2000","Female","F","25-34 years","25-34",694,19771195,3.5,3.2,3.8,0.1,0.0%
,"2000","2000","Female","F","35-44 years","35-44",1968,22700729,8.7,8.3,9.1,0.2,0.1%
,"2000","2000","Female","F","45-54 years","45-54",4092,19180722,21.3,20.7,22.0,0.3,0.1%
,"2000","2000","Female","F","55-64 years","55-64",6825,12629328,54.0,52.8,55.3,0.7,0.2%
,"2000","2000","Female","F","65-74 years","65-74",12973,10087712,128.6,126.4,130.8,1.1,0.4%
,"2000","2000","Female","F","75-84 years","75-84",22291,7481827,297.9,294.0,301.8,2.0,0.6%
,"2000","2000","Female","F","85+ years","85+",23281,3012589,772.8,762.9,782.7,5.1,0.6%
,"2000","2000","Female","F","Not Stated","NS",0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0.0%
,"2000","2000","Male","M","< 1 year","1",373,1949017,19.1,17.2,21.1,1.0,0.0%
,"2000","2000","Male","M","1-4 years","1-4",148,7861716,1.9,1.6,2.2,0.2,0.0%
,"2000","2000","Male","M","5-14 years","5-14",161,21043474,0.8,0.6,0.9,0.1,0.0%
,"2000","2000","Male","M","15-24 years","15-24",358,20078818,1.8,1.6,2.0,0.1,0.0%
,"2000","2000","Male","M","25-34 years","25-34",775,20120529,3.9,3.6,4.1,0.1,0.0%
,"2000","2000","Male","M","35-44 years","35-44",2438,22447798,10.9,10.4,11.3,0.2,0.1%
,"2000","2000","Male","M","45-54 years","45-54",5356,18497230,29.0,28.2,29.7,0.4,0.1%
,"2000","2000","Male","M","55-64 years","55-64",7937,11645356,68.2,66.7,69.7,0.8,0.2%
,"2000","2000","Male","M","65-74 years","65-74",14011,8303274,168.7,165.9,171.5,1.4,0.4%
,"2000","2000","Male","M","75-84 years","75-84",19618,4879353,402.1,396.4,407.7,2.9,0.5%
,"2000","2000","Male","M","85+ years","85+",11159,1226998,909.5,892.6,926.3,8.6,0.3%
,"2000","2000","Male","M","Not Stated","NS",Suppressed,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Suppressed
,"2001","2001","Female","F","< 1 year","1",341,1962905,17.4,15.5,19.2,0.9,0.0%
,"2001","2001","Female","F","1-4 years","1-4",141,7468536,1.9,1.6,2.2,0.2,0.0%
,"2001","2001","Female","F","5-14 years","5-14",136,20075767,0.7,0.6,0.8,0.1,0.0%
,"2001","2001","Female","F","15-24 years","15-24",301,19585847,1.5,1.4,1.7,0.1,0.0%
,"2001","2001","Female","F","25-34 years","25-34",706,19567043,3.6,3.3,3.9,0.1,0.0%
