"Notes","Sex","Sex Code","Year","Year Code","Ten-Year Age Groups","Ten-Year Age Groups Code",Deaths,Population,Crude Rate,Crude Rate Lower 95% Confidence Interval,Crude Rate Upper 95% Confidence Interval,Crude Rate Standard Error,% of Total Deaths
,"Female","F","2018","2018","< 1 year","1",167,1879703,8.9,7.5,10.2,0.7,0.0%
,"Female","F","2018","2018","1-4 years","1-4",94,7798370,1.2,1.0,1.5,0.1,0.0%
,"Female","F","2018","2018","5-14 years","5-14",119,20100339,0.6,0.5,0.7,0.1,0.0%
,"Female","F","2018","2018","15-24 years","15-24",330,20994345,1.6,1.4,1.7,0.1,0.0%
,"Female","F","2018","2018","25-34 years","25-34",1036,22487065,4.6,4.3,4.9,0.1,0.1%
,"Female","F","2018","2018","35-44 years","35-44",2198,20690288,10.6,10.2,11.1,0.2,0.1%
,"Female","F","2018","2018","45-54 years","45-54",5797,21090497,27.5,26.8,28.2,0.4,0.4%
,"Female","F","2018","2018","55-64 years","55-64",13994,21873773,64.0,62.9,65.0,0.5,0.9%
,"Female","F","2018","2018","65-74 years","65-74",22064,16246231,135.8,134.0,137.6,0.9,1.4%
,"Female","F","2018","2018","75-84 years","75-84",26229,8659334,302.9,299.2,306.6,1.9,1.6%
,"Female","F","2018","2018","85+ years","85+",30351,4218810,719.4,711.3,727.5,4.1,1.9%
,"Female","F","2018","2018","Not Stated","NS",Suppressed,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Suppressed
,"Female","F","2019","2019","< 1 year","1",167,1847935,9.0,7.7,10.4,0.7,0.0%
,"Female","F","2019","2019","1-4 years","1-4",86,7719541,1.1,0.9,1.4,0.1,0.0%
,"Female","F","2019","2019","5-14 years","5-14",124,20053140,0.6,0.5,0.7,0.1,0.0%
,"Female","F","2019","2019","15-24 years","15-24",292,20877151,1.4,1.2,1.6,0.1,0.0%
,"Female","F","2019","2019","25-34 years","25-34",1076,22581141,4.8,4.5,5.0,0.1,0.1%
,"Female","F","2019","2019","35-44 years","35-44",2175,20867064,10.4,10.0,10.9,0.2,0.1%
,"Female","F","2019","2019","45-54 years","45-54",5518,20702936,26.7,25.9,27.4,0.4,0.3%
,"Female","F","2019","2019","55-64 years","55-64",13900,21949318,63.3,62.3,64.4,0.5,0.9%
,"Female","F","2019","2019","65-74 years","65-74",21954,16783854,130.8,129.1,132.5,0.9,1.4%
,"Female","F","2019","2019","75-84 years","75-84",25765,8971649,287.2,283.7,290.7,1.8,1.6%
,"Female","F","2019","2019","85+ years","85+",28222,4228470,667.4,659.6,675.2,4.0,1.8%
,"Female","F","2019","2019","Not Stated","NS",Suppressed,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Suppressed
,"Female","F","2020","2020","< 1 year","1",159,1826869,8.7,7.4,10.1,0.7,0.0%
,"Female","F","2020","2020","1-4 years","1-4",54,7613266,0.7,0.5,0.9,0.1,0.0%
,"Female","F","2020","2020","5-14 years","5-14",85,20050413,0.4,0.3,0.5,0.0,0.0%
,"Female","F","2020","2020","15-24 years","15-24",310,20828241,1.5,1.3,1.7,0.1,0.0%
,"Female","F","2020","2020","25-34 years","25-34",1269,22625267,5.6,5.3,5.9,0.2,0.1%
,"Female","F","2020","2020","35-44 years","35-44",2834,21090324,13.4,12.9,13.9,0.3,0.2%
,"Female","F","2020","2020","45-54 years","45-54",6893,20441441,33.7,32.9,34.5,0.4,0.4%
,"Female","F","2020","2020","55-64 years","55-64",17000,21914243,77.6,76.4,78.7,0.6,1.1%
,"Female","F","2020","2020","65-74 years","65-74",27318,17365858,157.3,155.4,159.2,1.0,1.7%
,"Female","F","2020","2020","75-84 years","75-84",29953,9228272,324.6,320.9,328.3,1.9,1.9%
,"Female","F","2020","2020","85+ years","85+",30492,4243727,718.5,710.5,726.6,4.1,1.9%
,"Female","F","2020","2020","Not Stated","NS",Suppressed,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Suppressed
,"Female","F","2021","2021","< 1 year","1",143,1742991,8.2,6.9,9.5,0.7,0.0%
,"Female","F","2021","2021","1-4 years","1-4",67,7459995,0.9,0.7,1.1,0.1,0.0%
,"Female","F","2021","2021","5-14 years","5-14",95,20374951,0.5,0.4,0.6,0.0,0.0%
,"Female","F","2021","2021","15-24 years","15-24",352,21092449,1.7,1.5,1.8,0.1,0.0%
,"Female","F","2021","2021","25-34 years","25-34",1463,22441743,6.5,6.2,6.9,0.2,0.1%
,"Female","F","2021","2021","35-44 years","35-44",3672,21546241,17.0,16.5,17.6,0.3,0.2%
,"Female","F","2021","2021","45-54 years","45-54",7992,20376477,39.2,38.4,40.1,0.4,0.5%
,"Female","F","2021","2021","55-64 years","55-64",19428,21839746,89.0,87.7,90.2,0.6,1.2%
,"Female","F","2021","2021","65-74 years","65-74",30627,17797036,172.1,170.2,174.0,1.0,1.9%
,"Female","F","2021","2021","75-84 years","75-84",31478,9037561,348.3,344.5,352.1,2.0,2.0%
,"Female","F","2021","2021","85+ years","85+",28599,3799813,752.6,743.9,761.4,4.5,1.8%
,"Female","F","2021","2021","Not Stated","NS",0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0.0%
,"Female","F","2022","2022","< 1 year","1",178,1800246,9.9,8.4,11.3,0.7,0.0%
,"Female","F","2022","2022","1-4 years","1-4",96,7263012,1.3,1.1,1.6,0.1,0.0%
,"Female","F","2022","2022","5-14 years","5-14",130,19965235,0.7,0.5,0.8,0.1,0.0%
,"Female","F","2022","2022","15-24 years","15-24",344,21657540,1.6,1.4,1.8,0.1,0.0%
,"Female","F","2022","2022","25-34 years","25-34",1241,22311738,5.6,5.3,5.9,0.2,0.1%
,"Female","F","2022","2022","35-44 years","35-44",2924,21575176,13.6,13.1,14.0,0.3,0.2%
,"Female","F","2022","2022","45-54 years","45-54",6800,20152015,33.7,32.9,34.5,0.4,0.4%
,"Female","F","2022","2022","55-64 years","55-64",16944,21413534,79.1,77.9,80.3,0.6,1.1%
,"Female","F","2022","2022","65-74 years","65-74",28847,17877767,161.4,159.5,163.2,1.0,1.8%
,"Female","F","2022","2022","75-84 years","75-84",32055,9785700,327.6,324.0,331.2,1.8,2.0%
,"Female","F","2022","2022","85+ years","85+",28711,4202041,683.3,675.4,691.2,4.0,1.8%
,"Female","F","2022","2022","Not Stated","NS",0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0.0%
,"Female","F","2023","2023","< 1 year","1",159,1784146,8.9,7.5,10.3,0.7,0.0%
,"Female","F","2023","2023","1-4 years","1-4",92,7267615,1.3,1.0,1.6,0.1,0.0%
,"Female","F","2023","2023","5-14 years","5-14",135,20014683,0.7,0.6,0.8,0.1,0.0%
,"Female","F","2023","2023","15-24 years","15-24",301,21463206,1.4,1.2,1.6,0.1,0.0%
,"Female","F","2023","2023","25-34 years","25-34",1078,22483329,4.8,4.5,5.1,0.1,0.1%
