year,proportion,se,lcl,ucl,group
1999,0.03212030897066152,0.0002872561977357916,0.03155728682309936,0.03268333111822367,Cancer-attributed
2000,0.031118166075579018,0.0002798592349516307,0.030569641975073822,0.031666690176084214,Cancer-attributed
2001,0.03111625545157863,0.0002806451465510105,0.03056619096433865,0.03166631993881861,Cancer-attributed
2002,0.030681307305189098,0.00027652974239443615,0.030139309010096003,0.031223305600282192,Cancer-attributed
2003,0.030898346755589137,0.00027641279255575277,0.03035657768217986,0.03144011582899841,Cancer-attributed
2004,0.03160164397961064,0.0002795158065499267,0.031053792998772783,0.0321494949604485,Cancer-attributed
2005,0.03229798079337601,0.00027963266580720975,0.031749900768393874,0.03284606081835814,Cancer-attributed
2006,0.03297584710524943,0.0002859456993904653,0.032415393534444115,0.033536300676054745,Cancer-attributed
2007,0.03265072706570103,0.0002808330808935426,0.03210029422714969,0.033201159904252375,Cancer-attributed
2008,0.03348037377485698,0.0002839642845922297,0.032923803777056206,0.03403694377265775,Cancer-attributed
2009,0.03335155307908831,0.0002799855698257741,0.03280278136222979,0.03390032479594683,Cancer-attributed
2010,0.03415074900736033,0.00028415497213769175,0.03359380526197045,0.03470769275275021,Cancer-attributed
2011,0.03392358600406281,0.0002801060138350732,0.03337457821694607,0.034472593791179555,Cancer-attributed
2012,0.033977280933397226,0.0002784602937422174,0.03343149875766248,0.034523063109131974,Cancer-attributed
2013,0.03417894385978678,0.00027787023024421095,0.033634318208508124,0.034723569511065436,Cancer-attributed
2014,0.03666401964853363,0.0002864767764061289,0.036102525166777616,0.03722551413028964,Cancer-attributed
2015,0.038409406657102955,0.00029059817155907444,0.03783983424084717,0.03897897907335874,Cancer-attributed
2016,0.040073614535571865,0.0002987088098315805,0.039488145268301966,0.040659083802841764,Cancer-attributed
2017,0.04132867149889321,0.000302275388631256,0.04073621173717595,0.04192113126061047,Cancer-attributed
2018,0.04171903179226109,0.00029982869345668333,0.04113136755308599,0.042306696031436185,Cancer-attributed
2019,0.04268353425593022,0.0003080104936523452,0.04207983368837162,0.04328723482348881,Cancer-attributed
2020,0.04077153826855093,0.0002963054256324697,0.04019077963431129,0.04135229690279057,Cancer-attributed
2021,0.042758418098120796,0.00030452190973341006,0.042161555155043315,0.043355281041198276,Cancer-attributed
2022,0.04552155701326992,0.00030914969659415117,0.04491562360794538,0.04612749041859445,Cancer-attributed
2023,0.04679439805468376,0.00031582477710892477,0.04617538149155027,0.04741341461781725,Cancer-attributed
2024,0.046940734027216435,0.00031246329415959986,0.04632830597066362,0.04755316208376925,Cancer-attributed
1999,0.06747455608825062,0.00019020947361860364,0.06710174551995815,0.06784736665654309,Noncancer-attributed
2000,0.06668775043713888,0.00018902043822101823,0.06631727037822568,0.06705823049605208,Noncancer-attributed
2001,0.06788482197138322,0.00019022841293250345,0.06751197428203551,0.06825766966073094,Noncancer-attributed
2002,0.06899344262957662,0.00019051711260313343,0.06862002908887448,0.06936685617027875,Noncancer-attributed
2003,0.06996321896795331,0.00019132305206585353,0.06958822578590423,0.07033821215000238,Noncancer-attributed
2004,0.07194314822202322,0.00019627058406253734,0.07155845787726064,0.07232783856678579,Noncancer-attributed
2005,0.07376580932489157,0.00019636466518280525,0.07338093458113328,0.07415068406864987,Noncancer-attributed
2006,0.0746304395015659,0.00019876132356491026,0.07424086730737868,0.07502001169575313,Noncancer-attributed
2007,0.07508415673866006,0.00019975513232019546,0.07469263667931247,0.07547567679800765,Noncancer-attributed
2008,0.07653782266535497,0.00019853712773812578,0.07614868989498824,0.0769269554357217,Noncancer-attributed
2009,0.07671717506079768,0.0002002222253753037,0.07632473949906209,0.07710961062253328,Noncancer-attributed
2010,0.07662340507424659,0.00019896001749188092,0.0762334434399625,0.07701336670853068,Noncancer-attributed
2011,0.0775336843438682,0.00019766905447068608,0.07714625299710566,0.07792111569063075,Noncancer-attributed
2012,0.07661970958569572,0.00019522529616640565,0.07623706800520957,0.07700235116618187,Noncancer-attributed
2013,0.07870629097663379,0.0001945591375544834,0.078324955067027,0.07908762688624058,Noncancer-attributed
2014,0.08107368656883734,0.00019544002748111275,0.08069062411497437,0.08145674902270032,Noncancer-attributed
2015,0.08354955961479583,0.0001942462357023057,0.08316883699281931,0.08393028223677236,Noncancer-attributed
2016,0.08331705013646595,0.00019240990943403488,0.08293992671397525,0.08369417355895666,Noncancer-attributed
2017,0.08272691250120899,0.00018861063864819436,0.08235723564945853,0.08309658935295945,Noncancer-attributed
2018,0.08238006066916198,0.00018679700750595557,0.08201393853445031,0.08274618280387365,Noncancer-attributed
2019,0.07933828907497763,0.00018269205649363278,0.0789802126442501,0.07969636550570515,Noncancer-attributed
2020,0.07922786040597743,0.00016363534997819703,0.07890713512002016,0.0795485856919347,Noncancer-attributed
2021,0.08208478067541428,0.00016275128137880867,0.0817657881639118,0.08240377318691675,Noncancer-attributed
2022,0.08153811759384308,0.0001686189875824215,0.08120762437818153,0.08186861080950462,Noncancer-attributed
2023,0.08040044658873448,0.00017448485915748274,0.08005845626478582,0.08074243691268314,Noncancer-attributed
2024,0.07893509013391038,0.00017383161395339685,0.07859438017056172,0.07927580009725904,Noncancer-attributed
