"Notes","Year","Year Code","Sex","Sex Code","Ten-Year Age Groups","Ten-Year Age Groups Code",Deaths,Population,Crude Rate,Crude Rate Lower 95% Confidence Interval,Crude Rate Upper 95% Confidence Interval,Crude Rate Standard Error,% of Total Deaths
,"1999","1999","Female","F","< 1 year","1",Suppressed,1852123,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed
,"1999","1999","Female","F","1-4 years","1-4",17,7493614,Unreliable,0.1,0.4,0.1,0.0%
,"1999","1999","Female","F","5-14 years","5-14",38,19908282,0.2,0.1,0.3,0.0,0.0%
,"1999","1999","Female","F","15-24 years","15-24",72,18860184,0.4,0.3,0.5,0.0,0.0%
,"1999","1999","Female","F","25-34 years","25-34",118,19945090,0.6,0.5,0.7,0.1,0.0%
,"1999","1999","Female","F","35-44 years","35-44",360,22669604,1.6,1.4,1.8,0.1,0.1%
,"1999","1999","Female","F","45-54 years","45-54",785,18632305,4.2,3.9,4.5,0.2,0.2%
,"1999","1999","Female","F","55-64 years","55-64",1340,12378763,10.8,10.2,11.4,0.3,0.3%
,"1999","1999","Female","F","65-74 years","65-74",2138,10125424,21.1,20.2,22.0,0.5,0.5%
,"1999","1999","Female","F","75-84 years","75-84",2140,7411198,28.9,27.7,30.1,0.6,0.5%
,"1999","1999","Female","F","85+ years","85+",985,2960708,33.3,31.2,35.3,1.1,0.2%
,"1999","1999","Female","F","Not Stated","NS",0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0.0%
,"1999","1999","Male","M","< 1 year","1",Suppressed,1943639,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed
,"1999","1999","Male","M","1-4 years","1-4",26,7846168,0.3,0.2,0.5,0.1,0.0%
,"1999","1999","Male","M","5-14 years","5-14",50,20911542,0.2,0.2,0.3,0.0,0.0%
,"1999","1999","Male","M","15-24 years","15-24",102,19815847,0.5,0.4,0.6,0.1,0.0%
,"1999","1999","Male","M","25-34 years","25-34",119,20233316,0.6,0.5,0.7,0.1,0.0%
,"1999","1999","Male","M","35-44 years","35-44",318,22407073,1.4,1.3,1.6,0.1,0.1%
,"1999","1999","Male","M","45-54 years","45-54",844,17945514,4.7,4.4,5.0,0.2,0.2%
,"1999","1999","Male","M","55-64 years","55-64",1697,11399263,14.9,14.2,15.6,0.4,0.4%
,"1999","1999","Male","M","65-74 years","65-74",2773,8293485,33.4,32.2,34.7,0.6,0.6%
,"1999","1999","Male","M","75-84 years","75-84",2465,4813716,51.2,49.2,53.2,1.0,0.5%
,"1999","1999","Male","M","85+ years","85+",863,1193310,72.3,67.5,77.1,2.5,0.2%
,"1999","1999","Male","M","Not Stated","NS",0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0.0%
,"2000","2000","Female","F","< 1 year","1",Suppressed,1856631,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed
,"2000","2000","Female","F","1-4 years","1-4",19,7508434,Unreliable,0.2,0.4,0.1,0.0%
,"2000","2000","Female","F","5-14 years","5-14",39,20034103,0.2,0.1,0.3,0.0,0.0%
,"2000","2000","Female","F","15-24 years","15-24",74,19105073,0.4,0.3,0.5,0.0,0.0%
,"2000","2000","Female","F","25-34 years","25-34",120,19771195,0.6,0.5,0.7,0.1,0.0%
,"2000","2000","Female","F","35-44 years","35-44",315,22700729,1.4,1.2,1.5,0.1,0.1%
,"2000","2000","Female","F","45-54 years","45-54",795,19180722,4.1,3.9,4.4,0.1,0.2%
,"2000","2000","Female","F","55-64 years","55-64",1348,12629328,10.7,10.1,11.2,0.3,0.3%
,"2000","2000","Female","F","65-74 years","65-74",2005,10087712,19.9,19.0,20.7,0.4,0.4%
,"2000","2000","Female","F","75-84 years","75-84",2090,7481827,27.9,26.7,29.1,0.6,0.5%
,"2000","2000","Female","F","85+ years","85+",960,3012589,31.9,29.9,33.9,1.0,0.2%
,"2000","2000","Female","F","Not Stated","NS",0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0.0%
,"2000","2000","Male","M","< 1 year","1",Suppressed,1949017,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed
,"2000","2000","Male","M","1-4 years","1-4",17,7861716,Unreliable,0.1,0.3,0.1,0.0%
,"2000","2000","Male","M","5-14 years","5-14",36,21043474,0.2,0.1,0.2,0.0,0.0%
,"2000","2000","Male","M","15-24 years","15-24",90,20078818,0.4,0.4,0.6,0.0,0.0%
,"2000","2000","Male","M","25-34 years","25-34",114,20120529,0.6,0.5,0.7,0.1,0.0%
,"2000","2000","Male","M","35-44 years","35-44",284,22447798,1.3,1.1,1.4,0.1,0.1%
,"2000","2000","Male","M","45-54 years","45-54",814,18497230,4.4,4.1,4.7,0.2,0.2%
,"2000","2000","Male","M","55-64 years","55-64",1664,11645356,14.3,13.6,15.0,0.4,0.4%
,"2000","2000","Male","M","65-74 years","65-74",2678,8303274,32.3,31.0,33.5,0.6,0.6%
,"2000","2000","Male","M","75-84 years","75-84",2578,4879353,52.8,50.8,54.9,1.0,0.6%
,"2000","2000","Male","M","85+ years","85+",843,1226998,68.7,64.1,73.3,2.4,0.2%
,"2000","2000","Male","M","Not Stated","NS",Suppressed,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Suppressed
,"2001","2001","Female","F","< 1 year","1",Suppressed,1962905,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed
,"2001","2001","Female","F","1-4 years","1-4",23,7468536,0.3,0.2,0.5,0.1,0.0%
,"2001","2001","Female","F","5-14 years","5-14",33,20075767,0.2,0.1,0.2,0.0,0.0%
