"Notes","Sex","Sex Code","Year","Year Code","Ten-Year Age Groups","Ten-Year Age Groups Code",Deaths,Population,Crude Rate,Crude Rate Lower 95% Confidence Interval,Crude Rate Upper 95% Confidence Interval,Crude Rate Standard Error,% of Total Deaths
,"Female","F","2018","2018","< 1 year","1",Suppressed,1879703,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed
,"Female","F","2018","2018","1-4 years","1-4",12,7798370,0.2,0.1,0.3,0.0,0.0%
,"Female","F","2018","2018","5-14 years","5-14",29,20100339,0.1,0.1,0.2,0.0,0.0%
,"Female","F","2018","2018","15-24 years","15-24",56,20994345,0.3,0.2,0.3,0.0,0.0%
,"Female","F","2018","2018","25-34 years","25-34",127,22487065,0.6,0.5,0.7,0.1,0.1%
,"Female","F","2018","2018","35-44 years","35-44",371,20690288,1.8,1.6,2.0,0.1,0.2%
,"Female","F","2018","2018","45-54 years","45-54",1102,21090497,5.2,4.9,5.5,0.2,0.6%
,"Female","F","2018","2018","55-64 years","55-64",2762,21873773,12.6,12.2,13.1,0.2,1.4%
,"Female","F","2018","2018","65-74 years","65-74",3620,16246231,22.3,21.6,23.0,0.4,1.9%
,"Female","F","2018","2018","75-84 years","75-84",2620,8659334,30.3,29.1,31.4,0.6,1.3%
,"Female","F","2018","2018","85+ years","85+",1179,4218810,27.9,26.4,29.5,0.8,0.6%
,"Female","F","2018","2018","Not Stated","NS",0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0.0%
,"Female","F","2019","2019","< 1 year","1",Suppressed,1847935,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed
,"Female","F","2019","2019","1-4 years","1-4",10,7719541,0.1,0.1,0.2,0.0,0.0%
,"Female","F","2019","2019","5-14 years","5-14",28,20053140,0.1,0.1,0.2,0.0,0.0%
,"Female","F","2019","2019","15-24 years","15-24",42,20877151,0.2,0.1,0.3,0.0,0.0%
,"Female","F","2019","2019","25-34 years","25-34",144,22581141,0.6,0.5,0.7,0.1,0.1%
,"Female","F","2019","2019","35-44 years","35-44",385,20867064,1.8,1.7,2.0,0.1,0.2%
,"Female","F","2019","2019","45-54 years","45-54",1112,20702936,5.4,5.1,5.7,0.2,0.6%
,"Female","F","2019","2019","55-64 years","55-64",2639,21949318,12.0,11.6,12.5,0.2,1.3%
,"Female","F","2019","2019","65-74 years","65-74",3652,16783854,21.8,21.1,22.5,0.4,1.9%
,"Female","F","2019","2019","75-84 years","75-84",2652,8971649,29.6,28.4,30.7,0.6,1.4%
,"Female","F","2019","2019","85+ years","85+",1225,4228470,29.0,27.3,30.6,0.8,0.6%
,"Female","F","2019","2019","Not Stated","NS",0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0.0%
,"Female","F","2020","2020","< 1 year","1",Suppressed,1826869,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed
,"Female","F","2020","2020","1-4 years","1-4",10,7613266,0.1,0.1,0.2,0.0,0.0%
,"Female","F","2020","2020","5-14 years","5-14",14,20050413,0.1,0.0,0.1,0.0,0.0%
,"Female","F","2020","2020","15-24 years","15-24",46,20828241,0.2,0.2,0.3,0.0,0.0%
,"Female","F","2020","2020","25-34 years","25-34",108,22625267,0.5,0.4,0.6,0.0,0.1%
,"Female","F","2020","2020","35-44 years","35-44",368,21090324,1.7,1.6,1.9,0.1,0.2%
,"Female","F","2020","2020","45-54 years","45-54",1061,20441441,5.2,4.9,5.5,0.2,0.5%
,"Female","F","2020","2020","55-64 years","55-64",2704,21914243,12.3,11.9,12.8,0.2,1.4%
,"Female","F","2020","2020","65-74 years","65-74",3658,17365858,21.1,20.4,21.7,0.3,1.9%
,"Female","F","2020","2020","75-84 years","75-84",2666,9228272,28.9,27.8,30.0,0.6,1.4%
,"Female","F","2020","2020","85+ years","85+",1012,4243727,23.8,22.4,25.3,0.7,0.5%
,"Female","F","2020","2020","Not Stated","NS",0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0.0%
,"Female","F","2021","2021","< 1 year","1",Suppressed,1742991,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed
,"Female","F","2021","2021","1-4 years","1-4",Suppressed,7459995,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed
,"Female","F","2021","2021","5-14 years","5-14",22,20374951,0.1,0.1,0.2,0.0,0.0%
,"Female","F","2021","2021","15-24 years","15-24",37,21092449,0.2,0.1,0.2,0.0,0.0%
,"Female","F","2021","2021","25-34 years","25-34",133,22441743,0.6,0.5,0.7,0.1,0.1%
,"Female","F","2021","2021","35-44 years","35-44",422,21546241,2.0,1.8,2.1,0.1,0.2%
,"Female","F","2021","2021","45-54 years","45-54",1055,20376477,5.2,4.9,5.5,0.2,0.5%
,"Female","F","2021","2021","55-64 years","55-64",2768,21839746,12.7,12.2,13.1,0.2,1.4%
,"Female","F","2021","2021","65-74 years","65-74",3916,17797036,22.0,21.3,22.7,0.4,2.0%
,"Female","F","2021","2021","75-84 years","75-84",2812,9037561,31.1,30.0,32.3,0.6,1.4%
,"Female","F","2021","2021","85+ years","85+",1160,3799813,30.5,28.8,32.3,0.9,0.6%
,"Female","F","2021","2021","Not Stated","NS",0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0.0%
,"Female","F","2022","2022","< 1 year","1",Suppressed,1800246,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed
,"Female","F","2022","2022","1-4 years","1-4",Suppressed,7263012,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed
,"Female","F","2022","2022","5-14 years","5-14",18,19965235,0.1,0.1,0.1,0.0,0.0%
,"Female","F","2022","2022","15-24 years","15-24",52,21657540,0.2,0.2,0.3,0.0,0.0%
,"Female","F","2022","2022","25-34 years","25-34",140,22311738,0.6,0.5,0.7,0.1,0.1%
,"Female","F","2022","2022","35-44 years","35-44",405,21575176,1.9,1.7,2.1,0.1,0.2%
,"Female","F","2022","2022","45-54 years","45-54",1146,20152015,5.7,5.4,6.0,0.2,0.6%
,"Female","F","2022","2022","55-64 years","55-64",2892,21413534,13.5,13.0,14.0,0.3,1.5%
,"Female","F","2022","2022","65-74 years","65-74",4205,17877767,23.5,22.8,24.2,0.4,2.2%
,"Female","F","2022","2022","75-84 years","75-84",3097,9785700,31.6,30.5,32.8,0.6,1.6%
,"Female","F","2022","2022","85+ years","85+",1294,4202041,30.8,29.1,32.5,0.9,0.7%
,"Female","F","2022","2022","Not Stated","NS",0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0.0%
,"Female","F","2023","2023","< 1 year","1",Suppressed,1784146,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed
,"Female","F","2023","2023","1-4 years","1-4",Suppressed,7267615,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed
,"Female","F","2023","2023","5-14 years","5-14",25,20014683,0.1,0.1,0.2,0.0,0.0%
,"Female","F","2023","2023","15-24 years","15-24",35,21463206,0.2,0.1,0.2,0.0,0.0%
,"Female","F","2023","2023","25-34 years","25-34",149,22483329,0.7,0.6,0.8,0.1,0.1%
,"Female","F","2023","2023","35-44 years","35-44",438,22028457,2.0,1.8,2.2,0.1,0.2%
,"Female","F","2023","2023","45-54 years","45-54",1149,20306672,5.7,5.3,6.0,0.2,0.6%
,"Female","F","2023","2023","55-64 years","55-64",3004,21350566,14.1,13.6,14.6,0.3,1.5%
,"Female","F","2023","2023","65-74 years","65-74",4272,18350204,23.3,22.6,24.0,0.4,2.2%
,"Female","F","2023","2023","75-84 years","75-84",3207,10205598,31.4,30.3,32.5,0.6,1.6%
,"Female","F","2023","2023","85+ years","85+",1309,3911019,33.5,31.7,35.3,0.9,0.7%
,"Female","F","2023","2023","Not Stated","NS",0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0.0%
,"Female","F","2024 ","2024","< 1 year","1",0,1768890,0.0,0.0,0.0,0.0,0.0%
,"Female","F","2024 ","2024","1-4 years","1-4",Suppressed,7329381,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed
,"Female","F","2024 ","2024","5-14 years","5-14",17,20078036,0.1,0.0,0.1,0.0,0.0%
,"Female","F","2024 ","2024","15-24 years","15-24",39,21884177,0.2,0.1,0.2,0.0,0.0%
,"Female","F","2024 ","2024","25-34 years","25-34",173,22935413,0.8,0.6,0.9,0.1,0.1%
,"Female","F","2024 ","2024","35-44 years","35-44",472,22583276,2.1,1.9,2.3,0.1,0.2%
,"Female","F","2024 ","2024","45-54 years","45-54",1211,20457911,5.9,5.6,6.3,0.2,0.6%
,"Female","F","2024 ","2024","55-64 years","55-64",2927,21246717,13.8,13.3,14.3,0.3,1.5%
,"Female","F","2024 ","2024","65-74 years","65-74",4362,18745293,23.3,22.6,24.0,0.4,2.2%
,"Female","F","2024 ","2024","75-84 years","75-84",3315,10722882,30.9,29.9,32.0,0.5,1.7%
,"Female","F","2024 ","2024","85+ years","85+",1328,4021130,33.0,31.2,34.8,0.9,0.7%
