sex,age,weight
F,0-14,0.005683989873553693
F,15-24,0.003154974806967415
F,25-34,0.005750867937256154
F,35-44,0.011594808563766183
F,45-54,0.025154572677863658
F,55-64,0.04812252531798066
F,65-74,0.07848693071805579
F,75-84,0.12855616428970762
F,85+,0.18772249293189816
M,0-14,0.007344034818137285
M,15-24,0.008804492782821192
M,25-34,0.013256187626737661
M,35-44,0.020290032747011733
M,45-54,0.04074149381895778
M,55-64,0.07403510676590824
M,65-74,0.10345857137782985
M,75-84,0.12964466144063325
M,85+,0.10819809150491366
