Year,sex,age,cancer_sepsis,cancer_deaths,all_sepsis,all_deaths,noncancer_sepsis,noncancer_deaths
1999,F,0-14,62.0,680.0,671.0,17668.0,609.0,16988.0
1999,M,0-14,81.0,818.0,842.0,23113.0,761.0,22295.0
1999,F,15-24,74.0,701.0,370.0,8242.0,296.0,7541.0
1999,M,15-24,103.0,1023.0,386.0,22414.0,283.0,21391.0
1999,F,25-34,121.0,2046.0,851.0,12790.0,730.0,10744.0
1999,M,25-34,119.0,1959.0,969.0,28276.0,850.0,26317.0
1999,F,35-44,366.0,9261.0,2248.0,32138.0,1882.0,22877.0
1999,M,35-44,322.0,7471.0,3060.0,57118.0,2738.0,49647.0
1999,F,45-54,791.0,23047.0,4133.0,57315.0,3342.0,34268.0
1999,M,45-54,853.0,23634.0,5462.0,95659.0,4609.0,72025.0
1999,F,55-64,1362.0,40234.0,6748.0,96255.0,5386.0,56021.0
1999,M,55-64,1722.0,48833.0,7910.0,142724.0,6188.0,93891.0
1999,F,65-74,2162.0,67794.0,13433.0,197680.0,11271.0,129886.0
1999,M,65-74,2810.0,84544.0,14537.0,254920.0,11727.0,170376.0
1999,F,75-84,2154.0,77710.0,22517.0,357620.0,20363.0,279910.0
1999,M,75-84,2486.0,85060.0,19833.0,340970.0,17347.0,255910.0
1999,F,85+,995.0,42530.0,23702.0,436152.0,22707.0,393622.0
1999,M,85+,876.0,32484.0,11409.0,209989.0,10533.0,177505.0
2000,F,0-14,66.0,674.0,626.0,17484.0,560.0,16810.0
2000,M,0-14,63.0,852.0,733.0,22943.0,670.0,22091.0
2000,F,15-24,76.0,691.0,332.0,8236.0,256.0,7545.0
2000,M,15-24,94.0,1022.0,374.0,23071.0,280.0,22049.0
2000,F,25-34,122.0,2062.0,716.0,12561.0,594.0,10499.0
2000,M,25-34,116.0,1854.0,793.0,27890.0,677.0,26036.0
2000,F,35-44,324.0,9176.0,2052.0,32501.0,1728.0,23325.0
2000,M,35-44,290.0,7344.0,2515.0,57297.0,2225.0,49953.0
2000,F,45-54,803.0,23819.0,4183.0,59943.0,3380.0,36124.0
2000,M,45-54,828.0,24215.0,5467.0,100398.0,4639.0,76183.0
2000,F,55-64,1365.0,40578.0,6953.0,97525.0,5588.0,56947.0
